Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Chemical Synaptic Transmission (GO:0007268),42/273,9.798756845598672e-29,1.3385101851087786e-25,0,0,12.49212977834886,805.6513302064154,GABRB3;CHRM3;BRSK1;SNAP25;GABRB1;STXBP1;SLC1A2;HTR2A;SLC6A1;CPLX1;GRM3;SLC17A7;NPTX1;BSN;ASIC2;ERC2;DLGAP2;GABRA2;UNC13C;GABBR2;GABBR1;SLC12A5;SLC32A1;SYT1;GABRA5;GAD1;GAD2;PDYN;GRIN2C;SYN2;GABRG2;SYN1;GRIN1;DLG2;DLG4;SST;KCNQ2;PLP1;RIMBP2;AMPH;CBLN2;SCN2B
GO_Biological_Process_2023,Anterograde Trans-Synaptic Signaling (GO:0098916),29/199,1.9243898540404384e-19,1.314358270309619e-16,0,0,11.24095786963434,484.4235466860573,GABRB3;CHRM3;SNAP25;GABRB1;SLC1A2;HTR2A;SLC6A1;CPLX1;GRM3;NPTX1;BSN;ASIC2;UNC13C;GABBR2;SLC12A5;SYT1;GAD1;GAD2;PDYN;SYN2;SYN1;GRIN1;DLG2;DLG4;SST;KCNQ2;PLP1;AMPH;SCN2B
GO_Biological_Process_2023,Positive Regulation Of Excitatory Postsynaptic Potential (GO:2000463),9/22,2.922026005870051e-11,1.251628017241108e-08,0,0,43.07643622200584,1044.8688779535112,RIMS2;CUX2;RELN;NETO1;DLG4;GRIN2C;PRKCZ;SHANK3;GRIN1
GO_Biological_Process_2023,Modulation Of Excitatory Postsynaptic Potential (GO:0098815),10/31,3.6650893623458496e-11,1.251628017241108e-08,0,0,29.711262282690853,713.9492521263866,RIMS2;CUX2;RELN;NETO1;DLG4;GRIN2C;PRKCZ;SHANK3;SLC8A2;GRIN1
GO_Biological_Process_2023,Neurotransmitter Transport (GO:0006836),11/52,5.878840715683135e-10,1.6060992835246328e-07,0,0,16.775982600590336,356.5649769824929,GABRA2;SNAP25;BRSK1;SLC32A1;SYT1;SLC6A15;STXBP1;SLC1A2;SLC17A7;SYN2;SYN1
GO_Biological_Process_2023,Regulation Of Neuronal Synaptic Plasticity (GO:0048168),9/34,2.595538424503957e-09,5.347659337422505e-07,0,0,22.38607594936709,442.5608984583205,CAMK2B;SYNGR1;NETO1;DLG4;CAMK2A;SYP;GRIN2C;SLC8A2;GRIN1
GO_Biological_Process_2023,Nervous System Development (GO:0007399),27/433,2.7403817980935234e-09,5.347659337422505e-07,0,0,4.300120673124607,84.77760400169544,CHRM3;SH3GL3;NRSN1;MYT1L;CYP46A1;KLK6;NRGN;RELN;MOBP;SLITRK1;NPTX1;ASIC2;SH3GL2;SRRM4;HPCAL4;DNM3;OLFM1;NELL1;DLG4;KCNQ2;MAL;TAGLN3;SERPINI1;SCN2A;LY6H;SHANK3;SHANK2
GO_Biological_Process_2023,Regulation Of Long-Term Neuronal Synaptic Plasticity (GO:0048169),6/10,3.4955536233582693e-09,5.968657811884245e-07,0,0,92.49686520376176,1801.0780613764066,CAMK2B;SYNGR1;NETO1;DLG4;SYP;SHANK3
GO_Biological_Process_2023,Positive Regulation Of Synaptic Transmission (GO:0050806),12/77,3.955083437502705e-09,6.00293775069855e-07,0,0,11.56647825018432,223.79127634529007,RIMS2;RIMS3;RELN;SYT1;DLG4;GRIN2C;SHANK3;PRKCZ;CACNG3;SHANK2;SLC8A2;GRIN1
GO_Biological_Process_2023,Synaptic Vesicle Exocytosis (GO:0016079),9/41,1.5687330781412044e-08,2.142889384740885e-06,0,0,17.48289161392405,314.1747723683076,RIMS2;SNAP25;SYT4;UNC13C;RIMS3;SYT1;CPLX1;SYT7;STX1A
GO_Biological_Process_2023,Neurotransmitter Secretion (GO:0007269),9/43,2.4540008801149635e-08,3.047422911124582e-06,0,0,16.452810871183917,288.3019638780984,RIMS2;SNAP25;SLC32A1;SYT1;STXBP1;CPLX1;SYN2;SYN1;STX1A
GO_Biological_Process_2023,Calcium Ion-Regulated Exocytosis Of Neurotransmitter (GO:0048791),6/14,4.7313309442173536e-08,5.385831724834087e-06,0,0,46.239028213166144,779.8893762736385,RIMS2;SYT4;UNC13C;RIMS3;SYT1;SYT7
GO_Biological_Process_2023,Neuron Projection Development (GO:0031175),16/192,1.063630891344376e-07,1.0458885132040618e-05,0,0,5.736687260959106,92.1105867950772,CNTNAP2;UNC5A;STMN2;STMN4;BHLHE22;NMNAT2;SHTN1;DLG4;NPY;PLP1;MAP4;RAB6B;SHANK3;SH3GL2;PACSIN1;ZNF365
GO_Biological_Process_2023,Modulation Of Chemical Synaptic Transmission (GO:0050804),13/123,1.071920877368731e-07,1.0458885132040618e-05,0,0,7.410984848484849,118.9362530721224,SYT1;CAMK2A;CPLX1;SYN1;SLC8A2;RIMS2;GRM3;RIMS3;RELN;DLG4;NPTX1;DLGAP2;CNTNAP4
GO_Biological_Process_2023,Signal Release From Synapse (GO:0099643),8/38,1.4270710758546597e-07,1.2995860597449767e-05,0,0,16.525762355415353,260.48685823913866,SNAP25;SLC32A1;SYT1;STXBP1;CPLX1;SYN2;SYN1;STX1A
GO_Biological_Process_2023,Regulation Of Neuron Projection Development (GO:0010975),15/174,1.7156511245436533e-07,1.464737147579144e-05,0,0,5.9391357273280585,92.5216557874114,CAMK2B;BRSK1;TENM3;CAMK1D;STMN2;KNDC1;ARHGAP44;MAG;RELN;NCS1;IL1RAPL1;SERPINI1;SHANK3;PPFIA2;ZNF365
GO_Biological_Process_2023,Learning (GO:0007612),8/43,3.94295565891769e-07,3.16828084122445e-05,0,0,14.161333934204595,208.82536740363292,BRSK1;CNTNAP2;DLG4;MAP1A;SLC6A1;SHANK3;SHANK2;SLC8A2
