Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Collagen Fibril Organization (GO:0030199),6/42,7.590721675801664e-07,0.0007837511952631286,0,0,22.46145124716553,316.50810509622926,COL1A1;COL3A1;COL1A2;LOX;LUM;SERPINH1
GO_Biological_Process_2023,Positive Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043536),6/46,1.3216714928551917e-06,0.0007837511952631286,0,0,20.21122448979592,273.59153104548574,SRPX2;ANXA1;HMOX1;ETS1;HIF1A;VEGFA
GO_Biological_Process_2023,Positive Regulation Of Cell Migration Involved In Sprouting Angiogenesis (GO:0090050),4/16,5.578663831904195e-06,0.0022054317682127,0,0,44.37360178970917,536.7679926819462,ANXA1;SRPX2;HMOX1;VEGFA
GO_Biological_Process_2023,Extracellular Matrix Organization (GO:0030198),9/176,8.677267237373112e-06,0.0025728097358811,0,0,7.365269461077844,85.84077133723443,COL1A1;COL3A1;COL1A2;LOX;LUM;COL4A1;SERPINH1;TGFBI;MMP9
GO_Biological_Process_2023,Mitotic Cell Cycle Phase Transition (GO:0044772),7/111,2.333497881460458e-05,0.0055350569748242,0,0,9.101751844046364,97.0752538793196,CCNB2;MELK;UBE2C;MYC;CDK1;NES;AURKA
GO_Biological_Process_2023,Regulation Of Cell Migration Involved In Sprouting Angiogenesis (GO:0090049),4/30,7.728401126302216e-05,0.014920400861402,0,0,20.46566855962829,193.76943012552144,SRPX2;ANXA1;HMOX1;VEGFA
GO_Biological_Process_2023,Mitotic Cytokinesis (GO:0000281),5/59,8.806307422412649e-05,0.014920400861402,0,0,12.383008008008009,115.62580787249853,NUSAP1;BIRC5;KIF20A;ECT2;CEP55
GO_Biological_Process_2023,Regulation Of Leukocyte Migration (GO:0002685),3/13,0.00011867836473476267,0.0175940675719285,0,0,39.674,358.61699716203674,ANXA1;HMOX1;VEGFA
GO_Biological_Process_2023,Regulation Of Erythrocyte Differentiation (GO:0045646),4/36,0.0001602986172421193,0.0184490485976242,0,0,16.623322147651006,145.26243720298163,HMGB2;ETS1;HIF1A;HOXA5
GO_Biological_Process_2023,Positive Regulation Of Myeloid Cell Differentiation (GO:0045639),4/36,0.0001602986172421193,0.0184490485976242,0,0,16.623322147651006,145.26243720298163,HMGB2;ETS1;HIF1A;HOXA5
GO_Biological_Process_2023,Extracellular Structure Organization (GO:0043062),6/109,0.00019239368860712684,0.0184490485976242,0,0,7.824053893402021,66.94234553932036,COL1A1;COL3A1;COL1A2;COL4A1;TGFBI;MMP9
GO_Biological_Process_2023,G2/M Transition Of Mitotic Cell Cycle (GO:0000086),4/38,0.00019850247088635945,0.0184490485976242,0,0,15.643900513225423,133.3596996585806,MELK;CDK1;NES;AURKA
GO_Biological_Process_2023,External Encapsulating Structure Organization (GO:0045229),6/110,0.0002022239728238744,0.0184490485976242,0,0,7.748430141287284,65.90919048328679,COL1A1;COL3A1;COL1A2;COL4A1;TGFBI;MMP9
GO_Biological_Process_2023,Cell Cycle G2/M Phase Transition (GO:0044839),4/40,0.0002428655342773166,0.0192482340094287,0,0,14.77330350484713,122.95824384582446,MELK;CDK1;NES;AURKA
GO_Biological_Process_2023,Positive Regulation Of Cell Migration (GO:0030335),9/272,0.00025273978613641045,0.0192482340094287,0,0,4.653992395437262,38.54971763064916,COL1A1;GPNMB;PLAU;TMSB15A;PDPN;SOD2;HIF1A;S100A11;VEGFA
GO_Biological_Process_2023,Regulation Of Cell Population Proliferation (GO:0042127),16/766,0.0002648891192940741,0.0192482340094287,0,0,2.973742092457421,24.49233235381698,BTG3;UHRF1;IGFBP3;CDCA7;HMGB2;SOD2;ETS1;VEGFA;GPNMB;MYC;PDPN;NAMPT;NOX4;BIRC5;TIMP1;S100A11
GO_Biological_Process_2023,Positive Chemotaxis (GO:0050918),3/17,0.0002759021738282366,0.0192482340094287,0,0,28.332857142857144,232.20091633363012,LGALS3;GPNMB;VEGFA
GO_Biological_Process_2023,Regulation Of Apoptotic Process (GO:0042981),15/705,0.00034166755779528634,0.0218906153349087,0,0,3.017800882167612,24.08709784959318,TOP2A;ANXA1;TNFRSF12A;IGFBP3;MMP9;VEGFA;MELK;MYC;PDPN;CDK1;BIRC5;ECT2;PTMA;HOXA5;CD44
GO_Biological_Process_2023,Cellular Response To UV (GO:0034644),5/79,0.00035069282577003844,0.0218906153349087,0,0,9.027118334550767,71.81614133972047,YY1;PCNA;MYC;TIMP1;MMP9
