Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Molecular_Function_2023,GABA Receptor Activity (GO:0016917),6/21,7.766256509845217e-07,0.00012164003840945352,0,0,24.65203761755486,346.8124430019976,GABRA2;GABRB3;GABBR2;GABRB1;GABRA5;GABRG2
GO_Molecular_Function_2023,GABA-gated Chloride Ion Channel Activity (GO:0022851),5/12,7.924432469671239e-07,0.00012164003840945352,0,0,43.90178571428572,616.7386491209155,GABRA2;GABRB3;GABRB1;GABRA5;GABRG2
GO_Molecular_Function_2023,Glutamate Receptor Binding (GO:0035254),5/18,7.911612720600076e-06,0.0004857730210448447,0,0,23.63221153846154,277.6118170568685,NETO1;DLG4;CAMK2A;SHANK3;SHANK2
GO_Molecular_Function_2023,GABA-A Receptor Activity (GO:0004890),5/18,7.911612720600076e-06,0.0004857730210448447,0,0,23.63221153846154,277.6118170568685,GABRA2;GABRB3;GABRB1;GABRA5;GABRG2
GO_Molecular_Function_2023,Ligand-Gated Monoatomic Anion Channel Activity (GO:0099095),5/18,7.911612720600076e-06,0.0004857730210448447,0,0,23.63221153846154,277.6118170568685,GABRA2;GABRB3;GABRB1;GABRA5;GABRG2
GO_Molecular_Function_2023,Calmodulin-Dependent Protein Kinase Activity (GO:0004683),5/23,2.9064526855384947e-05,0.0014871349574338,0,0,17.063368055555557,178.24380851838868,CAMK2B;CAMK1D;PNCK;CAMKV;CAMK2A
GO_Molecular_Function_2023,Transmitter-Gated Monoatomic Ion Channel Activity (GO:0022824),6/40,4.235887515729804e-05,0.0018577392390414,0,0,10.865388161534206,109.40720713905816,GABRB3;GABRA2;GABRB1;GABRA5;GRIN2C;GABRG2
GO_Molecular_Function_2023,Chloride Channel Activity (GO:0005254),7/64,7.876388307122857e-05,0.0030225640128583,0,0,7.576188899922763,71.58783320337653,GABRB3;GABRA2;GABRB1;GABRA5;SLC17A7;GABRG2;ANO3
GO_Molecular_Function_2023,Syntaxin-1 Binding (GO:0017075),4/16,0.00010675202030492596,0.0036414300259569,0,0,20.41848390446521,186.72707574435665,SNAP25;UNC13C;SYT1;STXBP1
GO_Molecular_Function_2023,Voltage-Gated Monoatomic Cation Channel Activity (GO:0022843),7/76,0.00023477413176328476,0.0072075658451328,0,0,6.254762555829004,52.27034168574982,KCNH3;CACNA1I;NCS1;KCNMA1;KCNQ2;CACNA2D3;CACNG3
GO_Molecular_Function_2023,Voltage-Gated Potassium Channel Activity (GO:0005249),7/80,0.0003228074279353499,0.0084962987079487,0,0,5.910829671749807,47.51393602901,KCNJ4;KCNH3;KCNJ6;KCNT1;KCNS1;KCNMA1;KCNQ2
GO_Molecular_Function_2023,Benzodiazepine Receptor Activity (GO:0008503),3/9,0.00033210288109245835,0.0084962987079487,0,0,30.54192546583851,244.6428312425533,GABRA2;GABRA5;GABRG2
GO_Molecular_Function_2023,Extracellular Ligand-Gated Monoatomic Ion Channel Activity (GO:0005230),3/10,0.0004687310687573783,0.0104115986599364,0,0,26.17746228926353,200.6628494436979,GABRA2;GABRA5;GABRG2
GO_Molecular_Function_2023,Ligand-Gated Monoatomic Ion Channel Activity (GO:0015276),4/23,0.0004747960300948204,0.0104115986599364,0,0,12.891293654697492,98.65223941062992,GABRA2;GABRB1;GABRA5;GRIN1
GO_Molecular_Function_2023,Ionotropic Glutamate Receptor Binding (GO:0035255),3/11,0.00063676561722367,0.0130324696325111,0,0,22.904114906832294,168.55387626850796,NETO1;SHANK3;SHANK2
GO_Molecular_Function_2023,GTPase Activator Activity (GO:0005096),11/211,0.0007020830667023353,0.013471218842351,0,0,3.4112261146496814,24.770477999205365,SGSM1;ARHGAP44;NELL1;AGAP1;ARRB1;AGAP3;RGS11;ADAP1;RAP1GAP;GARNL3;RGS7
GO_Molecular_Function_2023,Voltage-Gated Calcium Channel Activity (GO:0005245),5/47,0.0009633113045747792,0.0164298094724698,0,0,7.303943452380952,50.72686551592284,CACNA1I;NCS1;CACNA2D3;SCN2A;CACNG3
GO_Molecular_Function_2023,Calcium-Dependent Phospholipid Binding (GO:0005544),5/47,0.0009633113045747792,0.0164298094724698,0,0,7.303943452380952,50.72686551592284,SYT4;SYT1;CPNE6;SYT13;SYT7
GO_Molecular_Function_2023,Inhibitory Extracellular Ligand-Gated Monoatomic Ion Channel Activity (GO:0005237),3/13,0.0010774082480802,0.0174086490610858,0,0,18.321428571428573,125.1939287750565,GABRA2;GABRA5;GABRG2
GO_Molecular_Function_2023,Syntaxin Binding (GO:0019905),5/53,0.0016648923615033,0.0245073656252797,0,0,6.388997395833333,40.87677215016144,SNAP25;UNC13C;SYT1;STXBP1;SYT13
GO_Molecular_Function_2023,Calcium Ion Binding (GO:0005509),14/346,0.0016763996030321,0.0245073656252797,0,0,2.622728857552396,16.76214044249745,SYT4;SYT1;CPNE6;SYT13;HPCAL4;TUBB4A;SYT7;CAMKK2;GRIN1;CALB2;VSNL1;NCS1;ENPP2;CDH18
GO_Molecular_Function_2023,Potassium Channel Activity (GO:0005267),6/79,0.0018067794658113,0.0252127861820038,0,0,5.050543221539915,31.900288162896334,KCNH3;KCNT1;KCNK12;KCNMA1;KCNQ2;KCNK4
GO_Molecular_Function_2023,Amino Acid Transmembrane Transporter Activity (GO:0015171),5/56,0.0021302103029134,0.0284336766519315,0,0,6.012254901960785,36.98459387530319,SLC32A1;SLC6A15;SLC1A2;SLC6A1;SLC7A10
GO_Molecular_Function_2023,Metal Ion Binding (GO:0046872),18/521,0.0022963403265435,0.0293740200103694,0,0,2.2347737678165536,13.579465552987305,SYT4;BRSK1;SYT1;CPNE6;PDE2A;ADCY2;SEPTIN4;SYT13;HPCAL4;TUBB4A;SYT7;CAMKK2;GRIN1;CALB2;VSNL1;NCS1;ENPP2;CDH18
GO_Molecular_Function_2023,Amino Acid:Sodium Symporter Activity (GO:0005283),3/18,0.0028945022945425,0.0355444881769824,0,0,12.211180124223604,71.37364081976732,SLC6A15;SLC1A2;SLC6A1
GO_Molecular_Function_2023,Protein Phosphatase Regulator Activity (GO:0019888),5/61,0.0031064343578564,0.0366798210716125,0,0,5.474051339285714,31.608703630640584,PPP1R16B;PPP2R2C;PPP4R4;RCAN2;PPP1R1B
GO_Molecular_Function_2023,Voltage-Gated Sodium Channel Activity (GO:0005248),3/19,0.0033962065868637,0.0386161267469327,0,0,11.447399068322982,65.07956471395426,SCN2A;SCN3B;SCN2B
GO_Molecular_Function_2023,GTPase Regulator Activity (GO:0030695),15/424,0.0041767208827228,0.0441815235779478,0,0,2.279280700370692,12.486421217370738,AGAP1;KNDC1;ARRB1;AGAP3;ADAP1;RUNDC3A;RAP1GAP;SGSM1;ARHGAP44;NELL1;RGS11;ARHGEF7;GARNL3;RAPGEF4;RGS7
GO_Molecular_Function_2023,GTPase Activity (GO:0003924),11/265,0.0042197522465562,0.0441815235779478,0,0,2.678557099152415,14.646293598837609,RGS4;DNM3;GNG3;AGAP1;SEPTIN3;AGAP3;SEPTIN4;RGS11;RAB6B;RAP1GAP;RGS7
GO_Molecular_Function_2023,Neutral L-amino Acid Transmembrane Transporter Activity (GO:0015175),4/41,0.0043174127274867,0.0441815235779478,0,0,6.613791361454913,36.01274847592658,SLC32A1;SLC6A15;SLC1A2;SLC7A10
GO_Molecular_Function_2023,Ribonucleoside Triphosphate Phosphatase Activity (GO:0017111),11/270,0.0048477253698784,0.0480081189855705,0,0,2.6261712121584733,13.995511587196903,RGS4;DNM3;GNG3;AGAP1;SEPTIN3;AGAP3;SEPTIN4;RGS11;RAB6B;RAP1GAP;RGS7
GO_Molecular_Function_2023,Chloride:Monoatomic Cation Symporter Activity (GO:0015377),2/8,0.0069091776605164,0.0659915471277438,0,0,20.29824561403509,100.98183660264188,SLC12A5;SLC6A1
GO_Molecular_Function_2023,Hormone Activity (GO:0005179),5/74,0.0070935539257835,0.0659915471277438,0,0,4.439764492753623,21.97048007083406,SST;NPY;CCK;VIP;CHGB
GO_Molecular_Function_2023,Neuropeptide Activity (GO:0160041),3/26,0.0083805061860047,0.0735090114029557,0,0,7.960572508776668,38.06623946890083,NPY;CCK;VIP
GO_Molecular_Function_2023,Neuropeptide Hormone Activity (GO:0005184),3/26,0.0083805061860047,0.0735090114029557,0,0,7.960572508776668,38.06623946890083,NPY;CCK;VIP
GO_Molecular_Function_2023,Ligand-Gated Monoatomic Ion Channel Activity Involved In Regulation Of Presynaptic Membrane Potential (GO:0099507),2/10,0.0108682613125227,0.0926821173040136,0,0,15.222136222910216,68.83310783658636,GABRB1;GABRA5
