Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Molecular_Function_2023,Phospholipase Inhibitor Activity (GO:0004859),3/9,3.5649693790167864e-05,0.0032242308592739,0,0,66.13666666666667,677.3565285982114,ANXA1;ANXA2;APOC1
GO_Molecular_Function_2023,Platelet-Derived Growth Factor Binding (GO:0048407),3/10,5.064236951739162e-05,0.0032242308592739,0,0,56.68571428571428,560.6626407935377,COL3A1;COL1A2;COL4A1
GO_Molecular_Function_2023,Chloride Ion Binding (GO:0031404),3/10,5.064236951739162e-05,0.0032242308592739,0,0,56.68571428571428,560.6626407935377,AMY1A;AMY1B;AMY1C
GO_Molecular_Function_2023,Chemoattractant Activity (GO:0042056),4/35,0.0001433363198747125,0.0068443092740175,0,0,17.160424334271486,151.87519181207776,LGALS3;GPNMB;HMGB2;VEGFA
GO_Molecular_Function_2023,Oligosaccharyl Transferase Activity (GO:0004576),2/5,0.0005726824628379199,0.0218764700804085,0,0,87.61147902869757,654.0353875035723,RPN2;OSTC
GO_Molecular_Function_2023,Insulin-Like Growth Factor II Binding (GO:0031995),2/6,0.0008547095397217229,0.0272082536811415,0,0,65.70529801324503,464.191429653511,IGFBP3;IGFBP2
GO_Molecular_Function_2023,Endopeptidase Inhibitor Activity (GO:0004866),5/112,0.001706577006168,0.0465651725968698,0,0,6.232634503662541,39.72223548734999,SERPINA3;PTTG1;ANXA2;SERPINH1;TIMP1
GO_Molecular_Function_2023,Protease Binding (GO:0002020),5/125,0.0027566698311019,0.06581549221756,0,0,5.5537725225225225,32.73244634072867,COL1A1;COL3A1;COL1A2;ANXA2;TIMP1
GO_Molecular_Function_2023,Insulin-Like Growth Factor I Binding (GO:0031994),2/12,0.0036490174619045,0.077440259469307,0,0,26.274172185430466,147.48474073788606,IGFBP3;IGFBP2
GO_Molecular_Function_2023,Insulin-Like Growth Factor Binding (GO:0005520),2/15,0.005718611687536,0.1060761442495298,0,0,20.20784513499745,104.35390264970576,IGFBP3;IGFBP2
