Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Cellular_Component_2023,Collagen-Containing Extracellular Matrix (GO:0062023),23/373,1.1282652366299068e-14,1.6359845931133649e-12,0,0,9.855626373626372,316.51846772928224,SERPINA3;SRPX;ANXA1;ANGPT2;ANXA2;LUM;LAMA4;TNC;MMP9;COL1A1;LGALS3;COL3A1;COL1A2;SRPX2;LOX;COL4A1;MGP;SERPINH1;COL6A3;TGFBI;A2M;S100A10;CTHRC1
GO_Cellular_Component_2023,Focal Adhesion (GO:0005925),12/387,4.427148826176502e-05,0.0024854306981887,0,0,4.419177304964539,44.3030023899025,ACTR3;GNA13;ANXA1;CSRP2;PLAU;RPLP1;G3BP1;TNC;VIM;RPL9;CD99;CD44
GO_Cellular_Component_2023,Cell-Substrate Junction (GO:0030055),12/395,5.390123425644077e-05,0.0024854306981887,0,0,4.32509305038609,42.50855934157525,ACTR3;GNA13;ANXA1;CSRP2;PLAU;RPLP1;G3BP1;TNC;VIM;RPL9;CD99;CD44
GO_Cellular_Component_2023,Endoplasmic Reticulum Lumen (GO:0005788),10/284,6.856360546727509e-05,0.0024854306981887,0,0,4.995406053800214,47.89469788111909,COL1A1;COL3A1;COL1A2;COL4A1;IGFBP3;TNC;SERPINH1;GPX8;COL6A3;TIMP1
GO_Cellular_Component_2023,Spindle (GO:0005819),8/210,0.00021765100871116064,0.0063118792526236,0,0,5.365653806759986,45.24650702375842,TUBB6;CENPF;KIFC1;CDK1;NUSAP1;KIF20A;ECT2;AURKA
GO_Cellular_Component_2023,Nucleus (GO:0005634),53/4487,0.00036668952099922034,0.0088616634241478,0,0,1.8423297248534052,14.574661351820447,TOP2A;SERPINA3;BTG3;GMNN;HMGB2;RPL9;ETS1;YY1;LGALS3;TUBB6;CSRP2;PTTG1;MYC;SUMO2;PCLAF;PBK;NEK2;HOXA5;ACTR3;ANXA1;ANXA2;IGFBP3;SPOCD1;ASPM;KIFC1;HAT1;SBDS;BIRC5;KIF20A;PTMA;SLBP;PCNA;UHRF1;CDCA7;NCAPG;RPS4Y1;HIF1A;AURKA;GNA13;CCNB2;CDC45;HMOX1;IGF2BP3;GBP2;ECT2;S100A11;UBE2C;PTGES3;GGH;CENPF;FABP5;CDK1;NOX4
GO_Cellular_Component_2023,Nuclear Chromosome (GO:0000228),5/95,0.0008175650561351609,0.0148711846324084,0,0,7.416291291291292,52.72375030802698,TOP2A;YY1;CDC45;BIRC5;NCAPG
GO_Cellular_Component_2023,Mitotic Spindle (GO:0072686),6/143,0.0008204791521328775,0.0148711846324084,0,0,5.872188291374944,41.72555064306789,TUBB6;KIFC1;NUSAP1;CDK1;ECT2;AURKA
GO_Cellular_Component_2023,Intracellular Membrane-Bounded Organelle (GO:0043231),57/5175,0.0012234760520303,0.019711558616044,0,0,1.7087424286830792,11.45892796735129,TOP2A;SERPINA3;BTG3;GMNN;MCUB;HMGB2;IFI30;RPL9;ETS1;YY1;LGALS3;TUBB6;CSRP2;PTTG1;MYC;SUMO2;PCLAF;PBK;NEK2;HOXA5;ACTR3;ANXA1;ANXA2;IGFBP3;SPOCD1;ASPM;KIFC1;HAT1;SBDS;BIRC5;KIF20A;PTMA;SLBP;PCNA;UHRF1;CDCA7;NCAPG;RPS4Y1;HIF1A;AURKA;GNA13;CCNB2;CDC45;HMOX1;IGF2BP3;GBP2;ECT2;S100A11;CCZ1B;UBE2C;PTGES3;CCZ1;GGH;CENPF;FABP5;CDK1;NOX4
GO_Cellular_Component_2023,Vacuolar Lumen (GO:0005775),6/161,0.0015119850450046,0.0216478929049454,0,0,5.185516787360105,33.676467049399136,SERPINA3;ANXA2;FABP5;LUM;GGH;IFI30
GO_Cellular_Component_2023,Platelet Alpha Granule Lumen (GO:0031093),4/66,0.0016422539445131,0.0216478929049454,0,0,8.566789348343798,54.92756011117325,SERPINA3;TIMP1;A2M;VEGFA
GO_Cellular_Component_2023,Intracellular Organelle Lumen (GO:0070013),15/856,0.0023987916508734,0.0289853991147204,0,0,2.456444191697255,14.81921231686452,LUM;IGFBP3;TNC;GPX8;GGH;SOD2;MMP9;COL1A1;COL3A1;COL1A2;COL4A1;SERPINH1;CDK1;COL6A3;TIMP1
GO_Cellular_Component_2023,Secretory Granule Lumen (GO:0034774),8/316,0.0030438548369075,0.0339506885655073,0,0,3.500044782803404,20.281466349162468,SERPINA3;ANXA2;FABP5;GGH;TIMP1;A2M;S100A11;VEGFA
GO_Cellular_Component_2023,Cyclin-Dependent Protein Kinase Holoenzyme Complex (GO:0000307),3/40,0.0035248664625393,0.0365075455048715,0,0,10.708108108108108,60.47846005948349,CCNB2;CDK1;CKS2
GO_Cellular_Component_2023,Polymeric Cytoskeletal Fiber (GO:0099513),7/265,0.0043594296452142,0.0414497766918827,0,0,3.640304767972815,19.786563665725875,TUBB6;ANXA1;KIFC1;VIM;KIF20A;NES;PRPH
GO_Cellular_Component_2023,Platelet Alpha Granule (GO:0031091),4/89,0.0048596289914621,0.0414497766918827,0,0,6.241452822739834,33.246928349366584,SERPINA3;TIMP1;A2M;VEGFA
GO_Cellular_Component_2023,Azurophil Granule Lumen (GO:0035578),4/89,0.0048596289914621,0.0414497766918827,0,0,6.241452822739834,33.246928349366584,SERPINA3;ANXA2;FABP5;GGH
GO_Cellular_Component_2023,Basement Membrane (GO:0005604),3/46,0.0052379319661172,0.0421944519492781,0,0,9.211162790697674,48.3754474604008,COL4A1;LAMA4;TNC
GO_Cellular_Component_2023,Large Ribosomal Subunit (GO:0015934),3/52,0.0073758896880712,0.0534752002385166,0,0,8.080816326530613,39.67308087349405,RPLP1;RPL14;RPL9
GO_Cellular_Component_2023,Cytosolic Large Ribosomal Subunit (GO:0022625),3/52,0.0073758896880712,0.0534752002385166,0,0,8.080816326530613,39.67308087349405,RPLP1;RPL14;RPL9
GO_Cellular_Component_2023,Membrane Raft (GO:0045121),5/169,0.0097466763069291,0.0672984792621296,0,0,4.05467205009888,18.776492686753127,ANXA2;PDPN;SERPINH1;S100A10;MS4A4A
GO_Cellular_Component_2023,Serine/Threonine Protein Kinase Complex (GO:1902554),3/60,0.0109260733741205,0.072012756329431,0,0,6.943859649122807,31.362659360685484,CCNB2;CKS2;CDK1
GO_Cellular_Component_2023,Microtubule (GO:0005874),5/185,0.0139867671550974,0.0881774451082231,0,0,3.6912537537537538,15.760337964068157,TUBB6;KIFC1;CDK1;KIF20A;AURKA
GO_Cellular_Component_2023,Intermediate Filament (GO:0005882),3/69,0.0159181246529044,0.0948273422336046,0,0,5.994242424242424,24.81794334905241,VIM;NES;PRPH
GO_Cellular_Component_2023,Microtubule Cytoskeleton (GO:0015630),7/342,0.0163495417644145,0.0948273422336046,0,0,2.7925577591494584,11.487341074180836,CCNB2;TUBB6;CENPF;KIFC1;BIRC5;KIF20A;AURKA
GO_Cellular_Component_2023,Intermediate Filament Cytoskeleton (GO:0045111),3/81,0.024266749536455,0.1353337954917685,0,0,5.068974358974359,18.849732363121152,VIM;NES;PRPH
