Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,GABAergic synapse,18/89,4.1661174809924876e-15,7.374027941356704e-13,0,0,16.189016837179427,536.047355809616,GABRB3;GABRA2;GABBR2;GABRB1;GABBR1;KCNJ6;SLC12A5;SLC32A1;PRKCB;GABRA5;GAD1;GAD2;ADCY2;ADCY1;SLC6A1;GABRG2;GLS;GNG3
KEGG_2021_Human,Morphine addiction,16/91,1.4174041602004694e-12,1.254402681777415e-10,0,0,13.531823085221143,369.17782222535885,GABRB3;GABRA2;GABBR2;GABRB1;GABBR1;KCNJ6;SLC32A1;PRKCB;GABRA5;PDE1A;PDE2A;ARRB1;ADCY2;ADCY1;GABRG2;GNG3
KEGG_2021_Human,Insulin secretion,13/86,1.301488833485614e-09,7.678784117565124e-08,0,0,11.188356164383562,228.91104803115843,CAMK2B;CHRM3;SNAP25;ABCC8;PRKCB;CAMK2A;ADCY2;CCK;ADCY1;RIMS2;KCNMA1;STX1A;RAPGEF4
KEGG_2021_Human,Synaptic vesicle cycle,12/78,4.6068432479459434e-09,2.03852813721608e-07,0,0,11.39064769096718,218.65171759675812,DNM3;SNAP25;UNC13C;ATP6V1G2;SLC32A1;SYT1;STXBP1;SLC1A2;SLC17A7;SLC6A1;CPLX1;STX1A
KEGG_2021_Human,Nicotine addiction,9/40,1.2419832395735976e-08,4.396620668090536e-07,0,0,18.04777460187832,328.54117007363226,GABRB3;GABRA2;GABRB1;SLC32A1;GABRA5;SLC17A7;GRIN2C;GABRG2;GRIN1
KEGG_2021_Human,Glutamatergic synapse,13/114,4.311170846656576e-08,1.2717953997636898e-06,0,0,8.075082508250825,136.94912938627508,PRKCB;SLC1A2;ADCY2;ADCY1;GRIN2C;GLS;GRIN1;GRM3;GNG3;DLG4;SLC17A7;SHANK3;SHANK2
KEGG_2021_Human,Neuroactive ligand-receptor interaction,21/341,2.064775085054757e-07,5.2209312864956e-06,0,0,4.1781969572368425,64.31529640386184,GABRA2;GABRB3;GABBR2;CHRM3;VIPR1;GABBR1;GABRB1;GABRA5;CCK;GPR83;HTR2A;PDYN;GRIN2C;GABRG2;GRIN1;GRM3;CCKBR;SST;NPY;VIP;NTSR2
KEGG_2021_Human,Amphetamine addiction,9/69,1.7024808869005457e-06,3.7667389622674575e-05,0,0,9.310917721518988,123.6808681612546,CAMK2B;PRKCB;CAMK2A;PPP1R1B;FOSB;PDYN;GRIN2C;STX1A;GRIN1
KEGG_2021_Human,Circadian entrainment,10/97,4.028093846561013e-06,7.92191789823666e-05,0,0,7.1476008027732165,88.78905023726684,CAMK2B;CACNA1I;GNG3;KCNJ6;PRKCB;CAMK2A;ADCY2;ADCY1;GRIN2C;GRIN1
KEGG_2021_Human,Retrograde endocannabinoid signaling,12/148,5.613002567028648e-06,9.935014543640707e-05,0,0,5.508081187746664,66.5950411981343,GABRB3;GABRA2;GABRB1;GNG3;KCNJ6;SLC32A1;PRKCB;GABRA5;ADCY2;SLC17A7;ADCY1;GABRG2
