Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,ECM-receptor interaction,7/88,5.050078498480314e-06,0.0007474116177750865,0,0,11.699813969220362,142.6921803641171,COL1A1;COL1A2;COL4A1;LAMA4;TNC;COL6A3;CD44
KEGG_2021_Human,Proteoglycans in cancer,9/205,2.924254342458229e-05,0.002163948213419,0,0,6.266262755102041,65.41906844863004,COL1A1;COL1A2;LUM;PLAU;MYC;HIF1A;MMP9;CD44;VEGFA
KEGG_2021_Human,Cell cycle,7/124,4.761210747844473e-05,0.0023488639689366,0,0,8.085118838543496,80.46652648872129,CCNB2;PCNA;CDC45;PTTG1;MYC;CDK1;E2F2
KEGG_2021_Human,AGE-RAGE signaling pathway in diabetic complications,6/100,0.00011981938947813868,0.0044333174106911,0,0,8.577073382544507,77.44689884884113,COL1A1;COL3A1;COL1A2;COL4A1;NOX4;VEGFA
KEGG_2021_Human,Bladder cancer,4/41,0.0002675295893909775,0.0079188758459729,0,0,14.373299473970617,118.23879150458106,MYC;E2F2;MMP9;VEGFA
KEGG_2021_Human,PI3K-Akt signaling pathway,10/354,0.0004070706970319684,0.0100410771934552,0,0,3.9646690518783534,30.950282855981094,COL1A1;PPP2CB;COL1A2;ANGPT2;COL4A1;MYC;LAMA4;TNC;COL6A3;VEGFA
KEGG_2021_Human,Relaxin signaling pathway,6/129,0.0004769142668319459,0.0100833302130182,0,0,6.545213207234113,50.05892828044304,COL1A1;COL3A1;COL1A2;COL4A1;MMP9;VEGFA
KEGG_2021_Human,MicroRNAs in cancer,9/310,0.0006526062583736467,0.0116219579380073,0,0,4.058554817275748,29.767618785249173,PLAU;MYC;TNC;E2F2;HMOX1;VIM;MMP9;CD44;VEGFA
KEGG_2021_Human,Small cell lung cancer,5/92,0.0007067406854193637,0.0116219579380073,0,0,7.673190431811121,55.66782059678762,COL4A1;MYC;LAMA4;CKS2;E2F2
KEGG_2021_Human,Pathways in cancer,12/531,0.000807486792389498,0.0119508045273645,0,0,3.169433853974501,22.571388977188327,GNA13;COL4A1;MYC;LAMA4;CKS2;E2F2;BIRC5;HMOX1;ETS1;HIF1A;MMP9;VEGFA
KEGG_2021_Human,Focal adhesion,7/201,0.000918504016967532,0.0123580540464722,0,0,4.857047027256037,33.96418495808307,COL1A1;COL1A2;COL4A1;LAMA4;TNC;COL6A3;VEGFA
KEGG_2021_Human,Amoebiasis,5/102,0.0011261340824649,0.0133927921718311,0,0,6.878657007522987,46.6989594546944,COL1A1;COL3A1;COL1A2;COL4A1;LAMA4
KEGG_2021_Human,Protein digestion and absorption,5/103,0.0011763939069851,0.0133927921718311,0,0,6.808121897407612,45.922835055579775,COL1A1;COL3A1;COL1A2;COL4A1;COL6A3
KEGG_2021_Human,Cellular senescence,6/156,0.0012868371475427,0.0135526648487838,0,0,5.359727891156463,35.67203287756858,CCNB2;MYC;IGFBP3;CDK1;E2F2;ETS1
