Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,Neuronal System R-HSA-112316,52/386,1.4985697892208736e-32,6.788521145170557e-30,0,0,11.02994011976048,808.2542881974113,GABRB3;SNAP25;GABRB1;SLC6A1;NRGN;PANX2;NEFL;DLGAP2;PPFIA2;KCNH3;SLC32A1;PRKCB;ABCC8;CACNA2D3;KCNAB1;SYN2;SYN1;GABRG2;KCNMA1;KCNQ2;IL1RAPL1;ARHGEF7;SHANK3;STX1A;SHANK2;CAMK2B;STXBP1;CAMK2A;SLC1A2;ADCY2;ADCY1;CPLX1;CAMKK2;GNG3;EPB41L1;SLITRK1;SLITRK4;SLC17A7;CACNG3;GABRA2;KCNJ4;GABBR2;KCNJ6;SYT1;GABRA5;GAD1;GAD2;GRIN2C;SYT7;PTPRD;KCNS1;KCNK4
Reactome_2022,Transmission Across Chemical Synapses R-HSA-112315,36/246,5.8054089921142044e-24,1.3149251367138669e-21,0,0,11.546218487394958,617.7602392722451,GABRB3;CAMK2B;SNAP25;GABRB1;STXBP1;CAMK2A;SLC1A2;ADCY2;ADCY1;SLC6A1;CPLX1;CAMKK2;NRGN;GNG3;EPB41L1;NEFL;SLC17A7;CACNG3;PPFIA2;GABRA2;KCNJ4;GABBR2;KCNJ6;SLC32A1;SYT1;PRKCB;GABRA5;GAD1;CACNA2D3;GAD2;GRIN2C;SYN2;GABRG2;SYN1;ARHGEF7;STX1A
Reactome_2022,Neurotransmitter Release Cycle R-HSA-112310,14/50,3.748698523461837e-14,5.660534770427375e-12,0,0,24.55752054305109,759.1904083557622,SNAP25;SLC32A1;SYT1;STXBP1;GAD1;SLC1A2;GAD2;SLC6A1;SYN2;CPLX1;SYN1;SLC17A7;STX1A;PPFIA2
Reactome_2022,Neurotransmitter Receptors And Postsynaptic Signal Transmission R-HSA-112314,21/182,2.256618229021236e-12,2.5556201443665503e-10,0,0,8.37271167048055,224.53229644085783,GABRB3;CAMK2B;GABRA2;KCNJ4;GABBR2;GABRB1;KCNJ6;PRKCB;GABRA5;CAMK2A;ADCY2;ADCY1;GRIN2C;GABRG2;NRGN;CAMKK2;GNG3;EPB41L1;NEFL;ARHGEF7;CACNG3
Reactome_2022,"GABA Synthesis, Release, Reuptake And Degradation R-HSA-888590",9/19,5.6644772179748255e-12,5.13201635948519e-10,0,0,56.00791139240506,1450.426044274349,SNAP25;SLC32A1;SYT1;GAD1;STXBP1;GAD2;SLC6A1;CPLX1;STX1A
Reactome_2022,Protein-protein Interactions At Synapses R-HSA-6794362,14/88,1.4758423599560815e-10,1.0966551345505728e-08,0,0,11.923785521856262,269.9142258064086,SYT1;STXBP1;GRIN2C;SYT7;PTPRD;EPB41L1;SLITRK1;SLITRK4;IL1RAPL1;DLGAP2;SHANK3;SHANK2;STX1A;PPFIA2
Reactome_2022,Serotonin Neurotransmitter Release Cycle R-HSA-181429,8/18,1.694610583190731e-10,1.0966551345505728e-08,0,0,49.62776025236593,1116.5451000179028,SNAP25;SYT1;STXBP1;CPLX1;SYN2;SYN1;STX1A;PPFIA2
Reactome_2022,Dopamine Neurotransmitter Release Cycle R-HSA-212676,8/23,1.7690267138922383e-09,8.904101126590934e-08,0,0,33.07676130389064,666.5905565780433,SNAP25;SYT1;STXBP1;CPLX1;SYN2;SYN1;STX1A;PPFIA2
Reactome_2022,Glutamate Neurotransmitter Release Cycle R-HSA-210500,8/23,1.7690267138922383e-09,8.904101126590934e-08,0,0,33.07676130389064,666.5905565780433,SNAP25;SYT1;STXBP1;SLC1A2;SLC17A7;CPLX1;STX1A;PPFIA2
Reactome_2022,GABA Receptor Activation R-HSA-977443,11/59,2.4616380160943303e-09,1.1151220212907317e-07,0,0,14.324376326963906,283.944073782535,GABRB3;GABRA2;KCNJ4;GABBR2;GABRB1;GNG3;KCNJ6;GABRA5;ADCY2;ADCY1;GABRG2
Reactome_2022,Acetylcholine Neurotransmitter Release Cycle R-HSA-264642,6/17,1.87118699151609e-07,7.705888246879896e-06,0,0,33.62325448845825,520.8754090342239,SNAP25;SYT1;STXBP1;CPLX1;STX1A;PPFIA2
Reactome_2022,Norepinephrine Neurotransmitter Release Cycle R-HSA-181430,6/18,2.76851708343822e-07,1.045115198997928e-05,0,0,30.81974921630094,465.3715506467204,SNAP25;SYT1;STXBP1;CPLX1;STX1A;PPFIA2
Reactome_2022,Neurexins And Neuroligins R-HSA-6794361,9/57,3.206321046495567e-07,1.1172795646634553e-05,0,0,11.64576740506329,174.13882766700834,SYT1;EPB41L1;STXBP1;GRIN2C;DLGAP2;SHANK3;SHANK2;STX1A;SYT7
Reactome_2022,Potassium Channels R-HSA-1296071,11/102,8.422527023640318e-07,2.72528910122076e-05,0,0,7.539161475467208,105.45165192764652,KCNJ4;KCNH3;GABBR2;GNG3;KCNJ6;KCNS1;ABCC8;KCNQ2;KCNMA1;KCNAB1;KCNK4
Reactome_2022,GPCR Downstream Signaling R-HSA-388396,28/619,1.1600226324082928e-06,3.503268349873044e-05,0,0,3.0442723911421035,41.60628704197195,CAMK2B;CHRM3;VIPR1;PDE1A;CAMK2A;ADCY2;GPR83;ARRB1;ADCY1;HTR2A;CAMKK2;RGS4;GRM3;GNG3;NPY;NTSR2;RGS7;CHGA;GABBR2;GPR37;PRKCB;PDE2A;PDYN;CCKBR;SST;PPP1R1B;RGS11;ARHGEF7
Reactome_2022,Post NMDA Receptor Activation Events R-HSA-438064,8/61,6.212081719381645e-06,0.0001758795636799928,0,0,9.343253377775133,112.01640020164731,CAMK2B;CAMK2A;NEFL;ADCY1;ARHGEF7;GRIN2C;NRGN;CAMKK2
Reactome_2022,Signaling By GPCR R-HSA-372790,28/689,8.888993483879279e-06,0.0002368655322469008,0,0,2.711899631718089,31.54128218890696,CAMK2B;CHRM3;VIPR1;PDE1A;CAMK2A;ADCY2;GPR83;ARRB1;ADCY1;HTR2A;CAMKK2;RGS4;GRM3;GNG3;NPY;NTSR2;RGS7;CHGA;GABBR2;GPR37;PRKCB;PDE2A;PDYN;CCKBR;SST;PPP1R1B;RGS11;ARHGEF7
Reactome_2022,Opioid Signaling R-HSA-111885,9/88,1.3101463296538448e-05,0.00030067990065616443,0,0,7.064733215830796,79.42728815737365,CAMK2B;GNG3;PDE1A;CAMK2A;PPP1R1B;ADCY2;ADCY1;PDYN;CAMKK2
Reactome_2022,Neurotoxicity Of Clostridium Toxins R-HSA-168799,4/10,1.3306102635366542e-05,0.00030067990065616443,0,0,40.849428868120455,458.62829368212334,SNAP25;SV2B;SYT1;STX1A
Reactome_2022,CaM Pathway R-HSA-111997,6/33,1.3449248783036516e-05,0.00030067990065616443,0,0,13.687216997561825,153.52386442984744,CAMK2B;PDE1A;CAMK2A;ADCY2;ADCY1;CAMKK2
Reactome_2022,Receptor-type Tyrosine-Protein Phosphatases R-HSA-388844,5/20,1.3938803341676497e-05,0.00030067990065616443,0,0,20.479166666666668,228.97416295448105,PTPRD;SLITRK1;SLITRK4;IL1RAPL1;PPFIA2
Reactome_2022,G Alpha (I) Signaling Events R-HSA-418594,17/312,1.5223690576038834e-05,0.00031346962867934505,0,0,3.6260180497468633,40.22217723176988,CAMK2B;GABBR2;GPR37;PDE1A;CAMK2A;ADCY2;ADCY1;PDYN;CAMKK2;RGS4;GRM3;GNG3;SST;NPY;PPP1R1B;RGS11;RGS7
Reactome_2022,Ca-dependent Events R-HSA-111996,6/35,1.917851486772017e-05,0.0003777333580468363,0,0,12.741973840665874,138.3997511210094,CAMK2B;PDE1A;CAMK2A;ADCY2;ADCY1;CAMKK2
Reactome_2022,Activation Of NMDA Receptors And Postsynaptic Events R-HSA-442755,8/74,2.647892732598531e-05,0.0004997897532779727,0,0,7.497944747156104,79.02204938284115,CAMK2B;CAMK2A;NEFL;ADCY1;ARHGEF7;GRIN2C;NRGN;CAMKK2
Reactome_2022,Long-term Potentiation R-HSA-9620244,5/23,2.9064526855384947e-05,0.0005266492266195752,0,0,17.063368055555557,178.24380851838868,CAMK2B;CAMK2A;NEFL;GRIN2C;NRGN
Reactome_2022,DAG And IP3 Signaling R-HSA-1489509,6/39,3.649989190508279e-05,0.0006359404243462501,0,0,11.195212311199771,114.39493253178406,CAMK2B;PDE1A;CAMK2A;ADCY2;ADCY1;CAMKK2
Reactome_2022,Integration Of Energy Metabolism R-HSA-163685,9/105,5.414593011490998e-05,0.0009084483830390452,0,0,5.808643196202532,57.06311020216194,CHRM3;SNAP25;GNG3;ABCC8;STXBP1;ADCY2;ADCY1;STX1A;RAPGEF4
Reactome_2022,Activation Of GABAB Receptors R-HSA-991365,6/42,5.6332031072871824e-05,0.000911371788428962,0,0,10.260710553814002,100.393329009208,KCNJ4;GABBR2;GNG3;KCNJ6;ADCY2;ADCY1
Reactome_2022,Sensory Processing Of Sound By Inner Hair Cells Of Cochlea R-HSA-9662360,7/67,0.00010577414155657196,0.001626400636341,0,0,7.196278825995807,65.87620784768443,SNAP25;EPB41L1;KCNMA1;SYP;BSN;SYN1;STX1A
Reactome_2022,PLC Beta Mediated Events R-HSA-112043,6/47,0.00010770865141331738,0.001626400636341,0,0,9.007110635369676,82.2896891721203,CAMK2B;PDE1A;CAMK2A;ADCY2;ADCY1;CAMKK2
Reactome_2022,"Glutamate Binding, Activation Of AMPA Receptors And Synaptic Plasticity R-HSA-399721",5/31,0.00013192562153850103,0.0019278163405464,0,0,11.80829326923077,105.4866987871299,CAMK2B;EPB41L1;PRKCB;CAMK2A;CACNG3
Reactome_2022,Phase 0 - Rapid Depolarisation R-HSA-5576892,5/32,0.00015429061664997643,0.0021841765419512,0,0,11.37037037037037,99.79401822728308,CAMK2B;CAMK2A;SCN3B;SCN2A;SCN2B
Reactome_2022,G-protein Mediated Events R-HSA-112040,6/52,0.00019077956190048632,0.0026188830769975,0,0,8.026032438326292,68.73808738540434,CAMK2B;PDE1A;CAMK2A;ADCY2;ADCY1;CAMKK2
Reactome_2022,L1CAM Interactions R-HSA-373760,8/99,0.00021182876448844573,0.0027740485381635,0,0,5.431136686657191,45.94596258605887,DNM3;SHTN1;KCNQ2;CNTN2;SCN3B;SCN2A;SH3GL2;SCN2B
Reactome_2022,Sensory Processing Of Sound R-HSA-9659379,7/75,0.0002161167900592211,0.0027740485381635,0,0,6.347068072512024,53.56729710689774,SNAP25;EPB41L1;KCNMA1;SYP;BSN;SYN1;STX1A
