Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,Collagen Formation R-HSA-1474290,10/90,1.729404496280542e-09,9.44254854969176e-07,0,0,17.278846153846153,348.6091654900726,COL1A1;COL3A1;COL1A2;LOX;COL4A1;LAMA4;SERPINH1;COL6A3;PLOD2;MMP9
Reactome_2022,Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807,10/107,9.5085104953116e-09,2.1364564686724072e-06,0,0,14.238338980607022,262.997478412268,COL1A2;ANXA1;MYC;HMOX1;BIRC5;TIMP1;VIM;HIF1A;MMP9;VEGFA
Reactome_2022,Assembly Of Collagen Fibrils And Other Multimeric Structures R-HSA-2022090,8/57,1.1738771805892348e-08,2.1364564686724072e-06,0,0,22.291907107670653,407.0584415686018,COL1A1;COL3A1;COL1A2;LOX;COL4A1;LAMA4;COL6A3;MMP9
Reactome_2022,"Cell Cycle, Mitotic R-HSA-69278",18/523,1.0900566455653319e-07,1.487927321196678e-05,0,0,5.106798679867987,81.87151206159756,TOP2A;PCNA;UBE2C;GMNN;NCAPG;AURKA;CCNB2;PPP2CB;TUBB6;CENPF;CDC45;PTTG1;MYC;CDK1;E2F2;BIRC5;NEK2;KIF20A
Reactome_2022,Extracellular Matrix Organization R-HSA-1474244,13/291,3.897776182916997e-07,4.256371591745361e-05,0,0,6.536408016443987,96.46227975565355,LUM;LAMA4;PLOD2;MMP9;COL1A1;COL3A1;COL1A2;LOX;COL4A1;SERPINH1;COL6A3;TIMP1;CD44
Reactome_2022,Collagen Biosynthesis And Modifying Enzymes R-HSA-1650814,7/67,7.910028644980133e-07,7.19812606693192e-05,0,0,15.811529680365297,222.1514267125162,COL1A1;COL3A1;COL1A2;COL4A1;SERPINH1;COL6A3;PLOD2
Reactome_2022,Cell Cycle R-HSA-1640170,18/654,2.755109497901487e-06,0.000214898540836316,0,0,4.0274633123689725,51.55980027466951,TOP2A;PCNA;UBE2C;GMNN;NCAPG;AURKA;CCNB2;PPP2CB;TUBB6;CENPF;CDC45;PTTG1;MYC;CDK1;E2F2;BIRC5;NEK2;KIF20A
Reactome_2022,Formation Of A Pool Of Free 40S Subunits R-HSA-72689,7/98,1.03255848622972e-05,0.000704721166851784,0,0,10.408851422550052,119.50283423605909,RPS28;EIF3M;RPL23;RPLP1;RPL14;RPS4Y1;RPL9
Reactome_2022,Scavenging By Class A Receptors R-HSA-3000480,4/19,1.167017832137753e-05,0.0007079908181635701,0,0,35.49351230425056,403.15213069439295,COL1A1;COL3A1;COL1A2;COL4A1
Reactome_2022,Binding And Uptake Of Ligands By Scavenger Receptors R-HSA-2173782,5/41,1.4724476307047375e-05,0.0007148499308628711,0,0,18.591403903903903,206.84794856743076,COL1A1;CD163;COL3A1;COL1A2;COL4A1
Reactome_2022,Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) Bind RNA R-HSA-428359,3/7,1.5022204699984635e-05,0.0007148499308628711,0,0,99.215,1101.879918617926,MYC;IGF2BP3;CD44
Reactome_2022,Mitotic G1 Phase And G1/S Transition R-HSA-453279,8/147,1.77244524505345e-05,0.0007148499308628711,0,0,7.822575043413545,85.58339368200068,TOP2A;PPP2CB;PCNA;CDC45;MYC;GMNN;CDK1;E2F2
Reactome_2022,SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339,7/108,1.952682836505328e-05,0.0007148499308628711,0,0,9.373525023735253,101.64389224700786,RPS28;RPN2;RPL23;RPLP1;RPL14;RPS4Y1;RPL9
Reactome_2022,L13a-mediated Translational Silencing Of Ceruloplasmin Expression R-HSA-156827,7/108,1.952682836505328e-05,0.0007148499308628711,0,0,9.373525023735253,101.64389224700786,RPS28;EIF3M;RPL23;RPLP1;RPL14;RPS4Y1;RPL9
Reactome_2022,GTP Hydrolysis And Joining Of 60S Ribosomal Subunit R-HSA-72706,7/109,2.073445366095333e-05,0.0007148499308628711,0,0,9.281157668546872,100.0853481532868,RPS28;EIF3M;RPL23;RPLP1;RPL14;RPS4Y1;RPL9
Reactome_2022,Collagen Chain Trimerization R-HSA-8948216,5/44,2.0947983321988896e-05,0.0007148499308628711,0,0,17.15869715869716,184.85867781018348,COL1A1;COL3A1;COL1A2;COL4A1;COL6A3
