probe_id,external_gene_name
ILMN_2317580,SHANK3
ILMN_1738058,CPNE6
ILMN_2300664,CACNA1I
ILMN_1657361,CBX7
ILMN_1747019,PDYN
ILMN_1796069,CBLN2
ILMN_1727805,SYNGR1
ILMN_2398939,MBP
ILMN_2331544,MBP
ILMN_1727098,PPP1R16B
ILMN_1715496,HTR2A
ILMN_2096623,SLITRK1
ILMN_1699768,CBLN4
ILMN_1785290,DOK6
ILMN_1726388,ACBD7
ILMN_1661491,SH3GL2
ILMN_1728301,GAD2
ILMN_1706511,TEF
ILMN_1653687,GALNT9
ILMN_1760990,SH3GL3
ILMN_1666222,PHACTR3
ILMN_2047511,COX19
ILMN_1731062,NPY
ILMN_2159730,GABRB1
ILMN_2215989,NEFM
ILMN_2047511,ADAP1
ILMN_1778240,GFOD1
ILMN_1653762,NRSN1
ILMN_1729165,TCEAL6
ILMN_1763704,RGS11
ILMN_2205032,MAGEE1
ILMN_1694810,PANX2
ILMN_1741603,BRINP1
ILMN_2401344,PPP2R2C
ILMN_1680507,PPP2R2C
ILMN_1656560,PARM1
ILMN_2049672,ANO3
ILMN_2199768,SLITRK4
ILMN_1781060,SYN2
ILMN_1757081,SYN2
ILMN_2120555,ADCY1
ILMN_1685834,AMPH
ILMN_1713561,LAMP5
ILMN_2319000,MATK
ILMN_2134801,ETNPPL
ILMN_1716803,RALYL
ILMN_2407703,SYN1
ILMN_2061565,PLCH2
ILMN_2056606,PPP1R1A
ILMN_1704210,CNTNAP4
ILMN_1761280,NTSR2
ILMN_2380938,SYT7
ILMN_2151114,VSNL1
ILMN_1805376,KCNJ6
ILMN_1758829,AP1G2
ILMN_2394362,AMER2
ILMN_1688801,JPH3
ILMN_1745817,NELL1
ILMN_1669410,CHGA
ILMN_2304495,PPP1R1B
ILMN_1685194,CLDN10
ILMN_1748840,CALB2
ILMN_1699585,BHLHE22
ILMN_1770653,MAL2
ILMN_1697189,PNCK
ILMN_2218856,CCL3L3
ILMN_2105573,CCL3L3
ILMN_1716507,EPB41L1
ILMN_1805992,SHTN1
ILMN_1742382,RIMS3
ILMN_1732066,CKMT1A
ILMN_1701637,SULT4A1
ILMN_1666090,OPALIN
ILMN_2373236,OPALIN
ILMN_1779347,GARNL3
ILMN_1794638,VIP
ILMN_1669982,CCDC85A
ILMN_1658094,ZNF365
ILMN_1737981,FSTL5
ILMN_2149164,SFRP1
ILMN_1733860,SYNPR
ILMN_1779241,CRYM
ILMN_2387712,AK5
ILMN_2061435,MEG3
ILMN_1671149,MEG3
ILMN_2336094,TENM3
ILMN_2126038,STMN2
ILMN_1673704,INA
ILMN_1709919,PLP1
ILMN_2185845,BRSK1
ILMN_2414135,PLP1
ILMN_2081087,HSPA12A
ILMN_1714709,OLFM1
ILMN_1659086,NEFL
ILMN_1659086,MIR6841
ILMN_1721027,KCNK4-CATSPERZ
ILMN_2181125,NAPB
ILMN_1661802,RAPGEF4
ILMN_1800179,KCNJ4
ILMN_1713139,DLGAP2
ILMN_1658685,ELFN2
ILMN_2373791,ENPP2
ILMN_1780799,ENPP2
ILMN_1723837,SLC6A17
ILMN_1741021,CH25H
ILMN_1699254,PLEKHH1
ILMN_2129910,SLC12A5
ILMN_1714577,OGDHL
ILMN_1745108,ADAD2
ILMN_1697512,SLC32A1
ILMN_1717029,RTP5
ILMN_1771622,CALY
ILMN_1768705,SYT4
ILMN_1743021,CAMKK2
ILMN_1659953,SEPTIN3
ILMN_1708916,PDZD4
ILMN_1811820,SRRM4
ILMN_1702789,KNDC1
ILMN_1783805,PNMA3
ILMN_1733042,BCAS1
ILMN_1803818,NMNAT2
ILMN_1709659,TMEM151A
ILMN_1710553,TMEM151A
ILMN_1733221,SEMA4D
ILMN_1690223,CNTNAP2
ILMN_1776516,ITPKA
ILMN_1748812,TMEM130
ILMN_1659678,GABRA2
ILMN_1743219,CA11
ILMN_1763612,TMEM132D
ILMN_1702255,KCNT1
ILMN_1764780,SVOP
ILMN_1770629,SLC17A7
ILMN_1654541,ATP6V1G2
ILMN_1802646,EPHB6
ILMN_1760160,STX1A
ILMN_2237252,LY6H
ILMN_1660501,LY6H
ILMN_1701483,SYP
ILMN_1756784,NCS1
ILMN_2395375,GABBR1
ILMN_1657497,KIAA0319
ILMN_1761903,KCNS1
ILMN_1765966,CHGB
ILMN_2080080,MAP7D2
ILMN_1803018,KIFC2
ILMN_1737650,DIO2
ILMN_1756928,RTN1
ILMN_2281786,RTN1
ILMN_1740555,SNAP25
ILMN_2408080,SNAP25
ILMN_1673450,DDN
ILMN_1705253,PTPRD
ILMN_2315789,PTPRD
ILMN_1691413,NNAT
ILMN_2175317,CYP4X1
ILMN_1676998,SCN2B
ILMN_2306661,UNC13C
ILMN_1760246,BSN
ILMN_1698885,PTPRT
ILMN_1800642,RELN
ILMN_1670535,NDRG2
ILMN_1715189,LHX6
ILMN_1779685,ASIC2
ILMN_1731397,STMN4
ILMN_1801090,KRT222
ILMN_2412822,SCN3B
ILMN_1715927,VSTM2L
ILMN_1810691,ADCY2
ILMN_1758829,JPH4
ILMN_1671686,DMTN
ILMN_1815033,HPCA
ILMN_1752299,RAB6B
ILMN_1695978,LINGO2
ILMN_1786989,NKX6-2
ILMN_1733669,CDH18
ILMN_1716563,PRKCB
ILMN_1806908,PRKCB
ILMN_1768758,CACNG3
ILMN_2078975,GRM3
ILMN_2369403,PALM2AKAP2
ILMN_1801703,CPLX1
ILMN_2120210,RCAN2
ILMN_1806147,GNG3
ILMN_1708223,PAK6
ILMN_2183891,PEX5L
ILMN_1806306,SV2B
ILMN_1679984,ZCCHC12
ILMN_1809947,SMIM43
ILMN_2172969,STXBP6
ILMN_1733648,SNAP91
ILMN_2199389,VIPR1
ILMN_1693233,KIAA0513
ILMN_1737631,PAQR6
ILMN_2330382,PAQR6
ILMN_2160428,IL1RAPL1
ILMN_1654653,KLC1
ILMN_1756715,RUNDC3A
ILMN_1663437,NECAB2
ILMN_1697433,CYP46A1
ILMN_1736976,HPCAL4
ILMN_1776998,DNAJA4
ILMN_1805404,GRIN1
ILMN_1803318,PPFIA2
ILMN_1740508,KCNMA1
ILMN_1665257,RIMS2
ILMN_1767503,GABRB3
ILMN_2215730,GABRA5
ILMN_2402172,SEPTIN4
ILMN_1776157,SEPTIN4
ILMN_1658499,SYT13
ILMN_1674817,C1orf115
ILMN_1728803,NSG2
ILMN_1701558,MAP1A
ILMN_1810533,SLC6A15
ILMN_1810051,EPB41L4B
ILMN_1779882,SOWAHA
ILMN_2414878,STXBP1
ILMN_1681467,RAB11FIP4
ILMN_1751020,PACSIN1
ILMN_1698846,SLC8A2
