probe_id,external_gene_name
ILMN_2056032,CD99
ILMN_1783142,RPS4Y1
ILMN_1814369,C21orf62
ILMN_2154836,BTG3
ILMN_1756860,TXNL1
ILMN_2302757,FCGBP
ILMN_1718984,FCGBP
ILMN_1709486,SRPX
ILMN_1801939,CCNB2
ILMN_2181241,RPL23AP64
ILMN_1720998,CA12
ILMN_2347592,NMB
ILMN_1670238,CDC45
ILMN_1773079,COL3A1
ILMN_2184184,ANXA1
ILMN_1807423,IGF2BP3
ILMN_1800512,HMOX1
ILMN_1699489,TUBB6
ILMN_2148527,H19
ILMN_2148527,MIR675
ILMN_1693421,RPN2
ILMN_1796316,MMP9
ILMN_2212909,MELK
ILMN_1694177,PCNA
ILMN_1711566,TIMP1
ILMN_1801766,MCUB
ILMN_2056167,OSTC
ILMN_2301083,UBE2C
ILMN_1714730,UBE2C
ILMN_1788874,SERPINA3
ILMN_1735996,NOX4
ILMN_1653028,COL4A1
ILMN_1656057,PLAU
ILMN_2357438,AURKA
ILMN_2140059,LAMA4
ILMN_1681737,TMSB15A
ILMN_1686097,TOP2A
ILMN_2176037,GNA13
ILMN_1747016,CEP55
ILMN_1657153,ACTR3
ILMN_1751028,SERPINH1
ILMN_1689004,TNFRSF12A
ILMN_2219712,HMGB2
ILMN_1751444,NCAPG
ILMN_2055700,SLBP
ILMN_1676213,SRPX2
ILMN_2285996,PCLAF
ILMN_1777233,E2F2
ILMN_1660806,CSRP2
ILMN_2408415,RPL9P7
ILMN_2408415,RPL9
ILMN_1725244,HAT1
ILMN_2049021,PTTG3P
ILMN_1801205,GPNMB
ILMN_2383349,STEAP3
ILMN_2409167,ANXA2
ILMN_2195914,GGH
ILMN_2203271,FPR3
ILMN_1807277,IFI30
ILMN_1803788,LGALS3
ILMN_1768582,PPP2CB
ILMN_2409298,NUSAP1
ILMN_1726720,NUSAP1
ILMN_2148913,TMEM45A
ILMN_1651228,RPS28
ILMN_2051373,NEK2
ILMN_1745607,A2M
ILMN_1720114,GMNN
ILMN_2379788,HIF1A
ILMN_1774207,ANGPT2
ILMN_2222008,KIFC1
ILMN_2058251,VIM
ILMN_1738150,SUMO2
ILMN_1653871,NAMPT
ILMN_2370336,MS4A4A
ILMN_2349459,BIRC5
ILMN_1693912,SLC47A2
ILMN_2134538,FTH1P11
ILMN_1746085,IGFBP3
ILMN_2072296,CKS2
ILMN_1767665,GPX8
ILMN_1747911,CDK1
ILMN_1753613,HOXA5
ILMN_1733270,CD163L1
ILMN_1789007,APOC1
ILMN_1673673,PBK
ILMN_1719749,PTGES3
ILMN_1701308,COL1A1
ILMN_1759954,PTMA
ILMN_1714759,CNIH4
ILMN_1759954,PTMAP2
ILMN_2042771,PTTG1
ILMN_1733270,CD163
ILMN_2379599,CD163
ILMN_2110908,MYC
ILMN_1797731,MS4A6A
ILMN_2359800,MS4A6A
ILMN_1721035,MS4A6A
ILMN_2181540,MIR6764
ILMN_2326273,CHI3L2
ILMN_2181540,YY1
ILMN_2104356,COL1A2
ILMN_1679045,SBDS
ILMN_1786444,LPL
ILMN_2406501,SOD2
ILMN_2336781,SOD2
ILMN_1774077,GBP2
ILMN_2348788,CD44
ILMN_1803429,CD44
ILMN_1795325,ACTG2
ILMN_1815184,ASPM
ILMN_1738147,NES
ILMN_1679045,SBDSP1
ILMN_2375879,VEGFA
ILMN_1695880,LOX
ILMN_2071809,MGP
ILMN_1706643,COL6A3
ILMN_2344455,G3BP1
ILMN_2064725,TMT1B
ILMN_1670490,PDPN
ILMN_2046730,S100A10
ILMN_2294762,AMY1A
ILMN_2294762,AMY1B
ILMN_2294762,AMY1C
ILMN_1726460,RPL14
ILMN_1755926,DBI
ILMN_1750101,S100A11
ILMN_2122103,ETS1
ILMN_1723678,PRPH
ILMN_1725193,IGFBP2
ILMN_1737184,CDCA7
ILMN_2410924,PLOD2
ILMN_1715508,NNMT
ILMN_2192694,EIF3M
ILMN_1755115,RPL23
ILMN_1755115,SNORA21B
ILMN_1784948,SPOCD1
ILMN_1728972,PIMREG
ILMN_1663866,TGFBI
ILMN_1695658,KIF20A
ILMN_1664516,CENPF
ILMN_1755537,EIF1AY
ILMN_1696302,FABP5P1
ILMN_1779852,FABP5P1
ILMN_1696302,FABP5
ILMN_1696302,FABP5P7
ILMN_1677697,RPS26P35
ILMN_1679025,RPS3AP25
ILMN_1814998,POTEKP
ILMN_1689725,RPLP1
ILMN_1696911,FTH1P8
ILMN_1666078,HLA-H
ILMN_1782538,VIM
ILMN_1790529,LUM
ILMN_1660270,CCZ1B
ILMN_1660270,CCZ1
ILMN_1725090,CTHRC1
ILMN_1665823,TPT1P9
ILMN_1717173,ECT2
ILMN_1719759,TNC
ILMN_1722622,CD163
ILMN_1785272,COL1A2
ILMN_1786065,UHRF1
ILMN_1716014,RPL15P3
ILMN_1685378,RPS7P3
