"","n_links"
"LOX",36
"SCN8A",36
"CNTNAP2",36
"UNC13A",36
"ANK3",37
"CXCR4",37
"TIMP1",38
"ITPR1",38
"EZH2",38
"SLC12A5",38
"DLG2",39
"SNCB",39
"SYNPR",39
"RIMS1",39
"GABBR2",40
"POSTN",40
"NPY",40
"GABRD",41
"CAV1",42
"CCND1",43
"CALB2",43
"KCNJ9",43
"SYT4",44
"NEFL",44
"CCK",45
"RAB3A",46
"COL1A1",46
"STXBP1",46
"STX1A",48
"TAC1",48
"GABRG2",48
"KCNC1",49
"SST",49
"CACNA1B",49
"SNCA",49
"GABRA1",50
"KCNA1",51
"SCN2A",51
"CALB1",52
"KCNQ2",52
"SLC17A6",55
"GRM5",60
"CD44",60
"PXDN",61
"SYN2",63
"PVALB",68
"SLC32A1",72
"GRIN2A",74
"BDNF",74
"GAD1",75
"GAD2",75
"SYT1",76
"SYP",76
"SYN1",77
"CAMK2A",78
"DLG4",79
"SLC17A7",81
"NRXN1",82
"TP53",83
"SNAP25",114
