ID_REF,GSM2407549,GSM2407550,GSM2407551,GSM2407552,GSM2407553,GSM2407554,GSM2407555,GSM2407556,GSM2407557,GSM2407558,GSM2407559,GSM2407560,GSM2407561,GSM2407562,GSM2407563,GSM2407564,GSM2407565,GSM2407566,GSM2407567,GSM2407568,GSM2407569,GSM2407570,GSM2407571,GSM2407572,GSM2407573
20500112,10.3747,11.033,10.6531,10.5866,10.883,11.5997,11.7078,11.2296,10.3047,9.97178,10.8023,11.3995,10.5326,10.693,10.6714,10.1398,8.62774,10.0403,9.86812,8.26256,9.84513,10.6628,9.57625,10.1022,10.0003
20500113,0.657721,0.822272,1.52359,0.714111,0.226319,0.91801,0.842971,1.03987,0.881094,0.7033,1.11486,0.676717,1.22964,0.859616,0.862392,1.20144,0.530052,0.765111,0.843799,0.694227,0.609774,0.346195,0.829836,1.00713,0.627464
20500114,1.12014,1.58891,0.727678,1.09464,1.06895,2.25602,2.03157,0.960246,1.80034,1.00126,0.621238,1.87938,1.91374,1.42995,0.832301,0.909073,0.827615,0.916379,1.31403,1.00736,1.28451,0.987815,2.47832,2.22353,1.50926
20500115,13.1342,13.561,13.3768,13.0443,12.7874,13.2603,13.0954,12.5481,12.9712,13.0428,13.0416,13.3813,13.4021,13.38,13.3206,13.2254,11.5765,13.0751,12.5278,11.3795,11.9953,12.5911,12.392,12.081,12.1199
20500116,2.89647,2.59757,2.32612,2.39294,2.38043,3.54941,2.83706,2.96851,0.774273,1.65922,3.32852,1.86735,1.50971,1.92424,1.7517,1.67136,1.93145,2.52382,0.982814,0.681731,2.64917,1.83628,1.50138,1.73686,1.86293
20500117,11.3843,12.0518,11.9406,12.099,11.7749,12.4995,12.447,12.1787,11.4981,11.261,11.9349,12.215,11.9797,11.656,11.9084,11.8173,9.62294,10.9177,11.0825,9.52583,11.0545,11.5263,10.5996,9.99713,11.092
20500118,0.165515,0.888976,0.442962,0.540621,1.2177,1.45915,0.560472,0.773537,0.418571,1.05581,0.887617,0.673156,0.925373,0.512431,0.806606,0.790413,0.572098,0.403639,0.319642,0.980822,0.406171,0.285266,0.399408,0.964964,0.652015
20500119,10.1106,10.4785,10.3127,10.5617,10.5232,10.8907,10.9344,10.6516,10.1808,9.64413,10.3222,11.0297,10.4003,9.865,10.8287,10.4529,8.93012,10.2794,10.2778,8.71276,9.9789,10.6813,8.96641,9.8226,10.131
20500120,2.54877,2.40318,2.23874,2.24456,3.25267,2.77747,2.71361,3.06896,1.28624,0.812762,0.886047,1.0957,0.716109,1.08384,1.33963,0.885343,1.29114,1.1669,1.86114,0.843799,1.95204,2.01333,0.721671,0.951747,2.35387
20500121,10.3141,10.0588,10.7712,10.6566,10.9407,10.1777,10.3879,10.5208,10.272,9.91088,10.8553,11.0429,10.4907,9.40714,11.2174,10.4488,9.01566,10.3101,10.4907,8.90793,10.2205,10.7845,9.54305,10.2376,10.435
20500122,2.51072,1.07058,1.10026,1.46406,2.84553,2.44194,1.94565,2.1116,1.79405,1.5161,1.50199,0.335815,1.43471,0.904997,2.99147,2.18379,1.43972,0.731253,1.65579,0.891848,2.56655,2.30477,0.914798,1.54156,1.43099
20500123,7.5801,8.42505,7.79863,7.52562,8.48189,8.70515,8.9337,8.90785,8.69015,8.28035,9.39091,9.878,9.03139,8.92311,9.25483,8.40188,7.43659,9.17783,8.78666,6.95244,7.95903,8.70297,7.28381,7.72966,7.76135
20500124,2.30445,2.43761,1.84866,1.26943,2.33284,1.82238,1.8319,1.9139,1.3215,1.67168,3.439,1.36325,1.47546,2.4046,0.780805,1.71398,1.42559,3.00969,2.26518,1.10665,2.55137,2.36199,2.04596,1.40148,2.37692
20500125,0.321991,0.900389,0.394779,0.462396,0.54058,0.470142,0.461431,0.545278,0.553929,0.640196,0.535755,0.442178,0.891346,0.721276,0.847185,0.152757,0.601723,0.513276,0.510843,0.550143,0.764551,0.284335,1.35136,0.474425,0.402998
20500126,5.4521,6.66402,6.12547,6.29561,5.8547,6.54116,6.80845,7.22558,5.63237,4.64554,6.65062,6.38893,5.67118,5.86933,6.53686,5.50783,4.44619,5.48093,5.03973,3.73849,5.1153,5.51796,4.32882,3.74143,4.74947
20500127,0.350959,0.691291,1.31217,0.293242,1.67261,1.21647,0.859428,1.37011,0.45783,0.570712,0.564722,0.652556,0.542769,0.530772,0.955468,0.741948,0.984912,0.295102,0.527473,0.365716,0.749476,1.06887,0.47254,0.916094,1.33728
20500128,10.1954,11.0728,11.1613,11.0241,10.1398,10.8567,11.3427,11.1921,9.54383,9.50037,10.4944,10.3035,9.94459,9.48643,10.5294,9.6333,8.20328,9.15364,8.65577,7.57162,8.75745,9.49662,7.88181,8.01562,9.02339
20500129,0.436959,0.307146,1.35424,1.3094,0.134339,0.638813,0.321024,0.349963,0.501639,0.743721,0.724044,0.71113,0.904114,1.01543,0.694227,0.265773,0.470684,0.0982508,0.111611,0.205216,0.136931,0.49804,0.293971,0.344224,0.0936576
20500130,10.7182,11.063,10.0473,9.64322,8.66051,9.64173,9.47686,9.27924,9.00551,9.01619,10.3253,9.88484,10.9908,10.6758,10.6084,10.6883,8.64354,9.181,8.5227,8.02207,8.0318,8.35219,8.97953,9.02367,8.27233
20500131,4.11266,5.07304,3.97013,4.84632,2.7264,4.17557,3.32629,4.18997,1.06984,3.50475,3.61861,2.06893,4.78188,4.03022,5.0405,4.53812,2.62542,3.943,2.43492,2.76986,2.79785,3.62965,4.93127,1.66215,2.98974
20500132,7.43045,7.04477,6.46756,6.67602,5.17726,6.16848,6.2792,6.65745,5.71348,6.28664,6.8981,6.30326,7.50959,6.71587,6.43757,7.38897,5.22943,5.74156,5.03045,3.48985,4.22225,5.01867,6.94472,7.07831,4.47083
20500133,3.1891,3.01881,1.48469,2.48935,2.82304,3.47927,3.08459,2.88113,1.99398,1.49221,1.97275,1.687,1.94055,1.32909,0.832412,3.19733,0.794118,2.9954,1.66502,0.679892,0.866765,1.25574,1.8289,2.81244,1.17064
20500134,0.430603,0.477926,0.607664,0.639646,0.378134,0.428166,0.218713,0.21136,0.526664,0.241113,0.665343,0.536435,0.561926,0.577706,0.462669,0.900068,0.574076,0.293304,0.295047,0.324744,0.398007,0.4275,1.14283,0.635058,0.280992
20500135,3.94695,4.13253,2.34294,2.00826,2.84791,2.7535,3.35471,3.66874,2.03268,1.87649,3.50303,3.31194,4.16836,5.05877,2.63308,3.0752,2.21414,2.01766,2.07677,1.27327,2.04603,2.27597,3.60478,2.03428,1.90129
20500136,1.0366,1.06984,0.383948,0.547639,0.521952,0.65454,0.60553,0.991797,0.883024,0.790772,0.607794,0.878956,0.438844,0.83014,0.441464,0.694644,0.838219,0.740142,0.631024,0.825735,0.623173,1.18058,0.500712,1.08141,0.619232
20500137,7.48992,7.96231,6.87569,6.38108,6.49685,6.9156,6.96253,7.31162,5.77245,5.995,7.16907,6.46273,6.72791,7.61281,7.16042,6.71019,4.9488,5.60901,5.07042,4.36278,5.63733,6.0226,7.68622,6.80549,5.71975
20500138,0.349883,0.641921,0.653291,0.647462,0.283155,0.336454,0.658016,0.966228,0.857246,0.977336,1.39803,0.405014,0.542377,0.457479,0.885802,0.627163,0.609502,0.672904,0.88388,0.487467,0.608278,0.397963,0.60602,0.749964,0.378103
20500139,9.53476,9.65404,8.60861,8.44128,7.51542,8.55138,8.48081,8.59868,7.47232,7.80743,9.26612,8.44371,9.54515,9.89832,9.29354,8.86859,7.60846,7.89811,6.929,6.35423,6.61901,7.54298,7.1167,7.71704,7.48147
20500140,0.546432,1.26415,0.507375,1.04038,0.468345,0.805242,0.470719,0.640489,0.833202,0.710588,0.86527,0.935583,1.00549,0.83637,1.41964,1.39142,0.963028,0.7288,0.737201,0.58014,0.298391,0.616299,0.523731,0.819499,0.456476
20500141,7.3412,6.37874,8.43836,7.3321,6.10946,7.64406,9.34974,10.1418,8.05009,9.39561,8.08214,10.0477,8.00669,7.37513,6.43757,6.09091,3.84493,5.61256,4.43597,2.47083,3.49409,4.36672,8.60998,9.40524,4.11242
20500142,3.87723,3.76717,5.09515,4.94487,2.1415,4.29889,5.57287,5.78996,3.51783,5.01857,3.09258,4.84745,3.04314,2.07747,1.47681,0.704372,0.862504,1.57058,0.759031,2.2616,1.12875,2.18924,7.25138,5.91932,1.00014
20500143,2.31574,0.805644,3.63018,1.92609,4.39088,2.93958,4.05326,4.45799,3.25459,1.95331,3.64958,3.2718,2.16065,1.58802,0.390904,1.89241,1.67844,1.55419,2.87962,0.581617,3.51336,3.37761,0.355797,4.25175,2.04075
20500144,8.20681,7.41411,9.72718,8.93371,9.71946,8.56024,9.25494,9.37245,7.89857,8.07729,8.05219,8.27825,7.62416,7.13325,8.26712,7.96916,6.69217,7.47274,7.97813,6.48169,8.20163,8.47212,8.48079,10.3142,8.08346
20500145,5.52087,4.46404,5.50211,4.23003,4.67475,4.61059,4.91445,4.33521,3.59663,4.3519,4.41745,5.07996,4.06644,4.70799,3.2175,3.92128,5.62425,4.51174,3.9802,4.66453,4.8289,5.05715,4.35987,5.28132,5.23801
20500146,10.8191,10.1744,11.5382,11.1102,10.0364,11.5452,11.9327,11.6026,9.89366,9.60102,10.0032,10.7698,10.159,9.12549,10.4775,9.54844,7.36312,8.28775,8.15928,6.63015,8.84797,8.74476,9.67386,12.0473,8.43393
20500147,0.987868,0.911847,0.606932,0.950915,1.40887,0.976259,0.961685,0.79285,0.665433,1.27563,0.756599,1.07807,1.58537,0.644903,0.746004,0.671771,0.423871,1.16311,1.10482,0.687231,1.35976,1.13406,0.834465,1.25683,0.918918
20500148,11.9685,11.1939,12.4868,11.9448,11.2578,12.1159,12.2201,12.1589,11.4933,11.4016,11.6242,12.2586,12.0848,10.9455,12.2061,11.3406,10.5428,11.4111,11.053,10.0813,10.7174,10.9017,10.7892,12.5021,10.7269
20500149,4.63102,3.89447,5.29384,5.00907,3.75581,4.96025,5.36136,5.30697,1.80658,3.17435,4.01062,4.43749,4.34356,2.97699,5.87313,3.74682,2.06534,1.92367,1.43249,1.04349,2.86231,2.63686,2.05356,6.16344,2.24741
20500150,6.40768,6.05052,4.90873,4.76539,4.3611,5.47932,5.63912,4.52945,5.71185,5.61176,5.676,5.2168,6.16743,5.90506,3.52295,6.00179,4.54643,5.00394,4.74417,4.89673,4.77322,4.6269,5.22619,3.93318,4.47148
20500151,7.38604,8.04569,6.91249,6.91129,5.8209,8.17722,7.67985,7.54791,6.09858,6.45424,7.52408,7.34074,7.49432,7.12383,5.97137,6.94546,4.54662,4.93368,4.22807,2.36124,3.99291,5.27902,6.29381,5.56596,4.25643
20500152,11.4127,11.5993,11.5908,11.9179,11.817,11.8874,12.1729,11.9939,11.1213,10.425,11.5928,11.7242,11.1893,11.4788,12.3522,11.3409,10.3689,11.1057,11.0751,9.91945,11.197,11.6315,8.68503,9.81794,11.4078
20500153,1.11502,0.5561,0.772278,1.20977,1.17666,1.28987,0.996409,0.717801,0.712258,1.03336,0.910309,1.05251,0.973848,0.817899,0.601032,0.786208,1.42158,0.993853,0.905482,1.05713,0.986879,0.987815,1.3865,1.16672,1.02715
