Genes,ID
A1BG,8039748
A1CF,7933640
A2M,7960947
A2ML1,7953775
A4GALT,8076497
AAAS,7963646
AACS,7959786
AADAT,8103706
AAK1,8052798
AAK1,8052803
AAMP,8058914
AANAT,8010071
AARS,8002347
AARS2,8126681
AASDH,8100478
AASDHPPT,7943552
AASDHPPT,7951435
AASS,8142554
AATF,8006690
AATK,8019090
ABAT,7993126
ABCA1,8162940
ABCA12,8058708
ABCA13,8132743
ABCA2,8165345
ABCA3,7998784
ABCA5,8018038
ABCA6,8017964
ABCA7,8024120
ABCA8,8017885
ABCA9,8017927
ABCB1,8140782
ABCB10,7924956
ABCB11,8056583
ABCB4,8140752
ABCB5,8131682
ABCB6,8059111
ABCB7,8173629
ABCB8,8137310
ABCB8,8137332
ABCB8,8137334
ABCB9,7967337
ABCC10,8119801
ABCC11,8001271
ABCC12,8001235
ABCC3,8008454
ABCC4,7972297
ABCC5,8092418
ABCC8,7946860
ABCC9,7961710
ABCD1,8170704
ABCD2,7962312
ABCD3,7903119
ABCE1,8097647
ABCF1,8117929
ABCF1,8177797
ABCF1,8179112
ABCF2,8143905
ABCF3,8084360
ABCG1,8068761
ABCG2,8101675
ABCG4,7944447
ABHD1,8040815
ABHD10,8081612
ABHD11,8140129
ABHD12,8065469
ABHD13,7969979
ABHD14B,8087825
ABHD2,7985809
ABHD3,8022488
ABHD4,7973306
ABHD5,8079153
ABHD8,8035271
ABI1,7932616
ABI2,8047659
ABI3,8008185
ABI3BP,8089145
ABL1,8158725
ABL2,7922610
ABLIM1,7936463
ABLIM2,8099279
ABLIM3,8109093
ABO,8164853
ABR,8010983
ABRA,8152291
ABT1,8117522
ABTB1,8082380
ABTB2,7947462
ACAA1,8086201
ACAA2,8023261
ACACA,8014487
ACACB,7958466
ACAD10,7958761
ACAD8,7945283
ACAD9,8082444
ACADL,8058591
ACADM,7902367
ACADS,7959220
ACADSB,7931168
ACADVL,8004271
ACAN,7985786
ACAT1,7943605
ACAT2,8123137
ACBD3,7924701
ACBD4,8007730
ACBD5,7932703
ACBD6,7922656
ACCS,7939507
ACD,8002057
ACE,8009096
ACE2,8171449
ACHE,8141648
ACIN1,7977906
ACLY,8015460
ACMSD,8045368
ACO1,8154733
ACO2,8073430
ACOT11,7901613
ACOT12,8112920
ACOT4,7975607
ACOT7,7912012
ACOT8,8066598
ACOT9,8171802
ACOX1,8018558
ACOX2,8088397
ACOX3,8099304
ACP1,8039961
ACP2,7947815
ACP5,8034304
ACP6,7919326
ACPP,8082673
ACPT,8030736
ACR,8054766
ACR,8074153
ACRBP,7960642
ACRC,8168345
ACSBG1,7990683
ACSBG2,8025011
ACSF2,8008321
ACSF3,7997863
ACSL1,8103951
ACSL3,8048733
ACSL4,8174474
ACSL5,7930498
ACSL6,8113938
ACSM5,7993726
ACSS1,8065444
ACSS2,8062041
ACSS3,7957386
ACTA1,7924910
ACTA2,7934906
ACTB,8137979
ACTC1,7987315
ACTG2,8042788
ACTL6A,8084067
ACTL6B,8141580
ACTL8,7898516
ACTN1,7979824
ACTN2,7910727
ACTN4,8028524
ACTR10,7974587
ACTR1A,7936028
ACTR1B,8054077
ACTR2,8042337
ACTR3,8044686
ACTR3B,8137474
ACTR5,8062545
ACTR6,7957793
ACTR8,8088151
ACVR1,8056005
ACVR1B,7955535
ACVR1C,8055992
ACVR2A,8045587
ACVR2B,8078805
ACVRL1,7955562
ACY3,7949873
ACYP1,7980265
ADA,8066431
ADAD1,8097236
ADAD2,7997569
ADAL,7983191
ADAM10,7989224
ADAM11,8007675
ADAM12,7936968
ADAM15,7905881
ADAM17,8050190
ADAM19,8115490
ADAM21,7975406
ADAM22,8133983
ADAM23,8047788
ADAM28,8145293
ADAM30,7919088
ADAM32,8146024
ADAM33,8064686
ADAM8,7937150
ADAM9,8146000
ADAMDEC1,8145317
ADAMTS1,8069676
ADAMTS10,8033635
ADAMTS12,8111387
ADAMTS13,8159036
ADAMTS14,7928147
ADAMTS15,7945232
ADAMTS16,8104321
ADAMTS17,7991516
ADAMTS18,8002941
ADAMTS19,8107823
ADAMTS2,8116272
ADAMTS20,7962384
ADAMTS3,8100870
ADAMTS5,8069689
ADAMTS6,8112342
ADAMTS7,7990736
ADAMTS8,7952752
ADAMTS9,8088560
ADAMTSL1,8154491
ADAMTSL1,8154512
ADAMTSL2,8159086
ADAMTSL3,7985522
ADAMTSL4,7905233
ADAR,7920531
ADARB1,8069178
ADARB2,7931764
ADAT1,8002904
ADAT2,8129963
ADCK1,7976000
ADCK2,8136591
ADCK5,8148850
ADCY1,8132667
ADCY2,8104394
ADCY3,8050766
ADCY4,7978285
ADCY5,8090070
ADCY7,7995492
ADCY8,8152902
ADCY9,7999079
ADCYAP1,8019851
ADCYAP1R1,8132151
ADD1,8093643
ADD2,8052882
ADD3,7930380
ADH1A,8101874
ADH1C,8101893
ADH4,8101852
ADH6,8101862
ADH7,8101904
ADHFE1,8146687
ADI1,8050071
ADIG,8062527
ADIPOQ,8084710
ADIPOR1,7923503
ADIPOR2,7953021
ADK,7928471
ADM,7938390
ADNP,8067011
ADNP2,8021914
ADO,7927767
ADORA1,7908907
ADORA2B,8005134
ADPGK,7990231
ADPRH,8081880
ADPRHL1,7972902
ADPRHL2,7900087
ADRA1A,8149885
ADRA1D,8064779
ADRA2A,7930482
ADRB1,7930627
ADRB2,8109086
ADRM1,8063893
ADSL,8073242
ADSS,7925550
ADSSL1,7977273
AEBP1,8132557
AEBP2,7954279
AES,8032576
AFAP1,8099259
AFAP1L1,8109120
AFAP1L2,7936439
AFF1,8096224
AFF2,8170364
AFF3,8054254
AFF4,8114083
AFG3L2,8022342
AFMID,8010248
AFP,8095646
AFTPH,8042291
AGA,8103834
AGBL1,7985741
AGBL2,7947947
AGBL3,8136370
AGBL4,7915971
AGBL5,8040774
AGER,8125341
AGER,8178771
AGER,8179967
AGGF1,8106429
AGK,8136614
AGL,7903239
AGMAT,7912659
AGPAT2,8165258
AGPAT3,8068952
AGPAT4,8130628
AGPAT5,8144378
AGPS,8046604
AGR2,8138381
AGR3,8138392
AGRN,7896822
AGT,7924987
AGTPBP1,8162086
AGTR1,8083240
AGTR2,8169492
AGXT,8049737
AHCY,8065738
AHCYL1,7903803
AHCYL2,8136095
AHDC1,7914103
AHI1,8129728
AHNAK,7948667
AHNAK2,7981514
AHR,8131614
AHSA1,7975976
AHSA2,8042195
AHSG,8084648
AIF1,8118158
AIF1,8177996
AIF1,8179276
AIFM1,8175052
AIFM2,7934101
AIFM3,8071444
AIG1,8122396
AIM1,8121277
AIM1L,7913938
AIM2,7921434
AIP,7941927
AIPL1,8011912
AIRE,8069037
AJAP1,7897227
AK1,8164293
AK2,7914617
AK2,7916590
AK3,8159945
AK5,7902452
AK7,7976578
AKAP1,8008664
AKAP10,8013431
AKAP11,7968835
AKAP12,8122807
AKAP13,7985695
AKAP14,8169665
AKAP3,7960427
AKAP5,7975066
AKAP6,7973850
AKAP7,8122045
AKAP8,8035007
AKAP8L,8035023
AKAP9,8134122
AKNA,8163569
AKR1A1,7901110
AKR1B1,8143054
AKR1B10,8136336
AKR1C1,7925918
AKR1C3,7925929
AKR7A2,7913156
AKR7A3,7913146
AKT1,7981494
AKT1S1,8038477
AKT2,8036840
AKT3,7925531
AKTIP,8001410
ALAD,8163509
ALB,8095628
ALCAM,8081431
ALDH16A1,8030321
ALDH18A1,7935230
ALDH1A1,8161755
ALDH1A3,7986444
ALDH1A3,7986446
ALDH1B1,8155327
ALDH1L1,8090314
ALDH1L2,7965979
ALDH2,7958784
ALDH3A1,8013384
ALDH3A2,8005638
ALDH3B1,7941961
ALDH4A1,7912975
ALDH5A1,8117207
ALDH6A1,7980096
ALDH6A1,7980098
ALDH7A1,8113773
ALDH8A1,8129695
ALDH9A1,7921970
ALDOA,7994737
ALDOB,8162884
ALDOC,8013660
ALG1,7993071
ALG12,8076851
ALG13,8169412
ALG13,8169419
ALG14,7917896
ALG2,8162827
ALG3,8092457
ALG6,7901915
ALG8,7950654
ALG9,7951633
ALKBH1,7980454
ALKBH2,7966183
ALKBH3,7939477
ALKBH4,8141757
ALKBH5,8005399
ALKBH6,8036242
ALKBH7,8025035
ALKBH8,7951467
ALLC,8040053
ALMS1,8042737
ALOX12B,8012309
ALOX15,8011680
ALOX15B,8004784
ALOX5,7927215
ALOX5AP,7968344
ALOXE3,8012326
ALPK1,8096919
ALPK2,8023528
ALPK3,7985620
ALPL,7898693
ALPPL2,8049128
ALS2,8058295
ALS2CL,8086627
ALS2CR11,8058238
ALS2CR12,8058203
ALX1,7957452
ALX3,7918416
AMBN,8095519
AMBP,8163535
AMBRA1,7947652
AMD1,8121489
AMDHD1,7957654
AMELX,8166006
AMFR,8001477
AMHR2,7955797
AMIGO1,7918359
AMIGO2,7962579
AMMECR1,8174496
AMMECR1L,8055096
AMN,7977033
AMOT,8174576
AMOTL1,7943263
AMOTL2,8090852
AMPD2,7903719
AMPD3,7938396
AMPH,8139131
AMZ1,8131195
AMZ2,8009432
ANAPC10,8103005
ANAPC11,8010686
ANAPC11,8019687
ANAPC13,8090866
ANAPC2,8165462
ANAPC4,8094408
ANAPC5,7967149
ANAPC7,7966301
ANGEL1,7980327
ANGEL2,7924190
ANGPT1,8152297
ANGPT2,8149071
ANGPTL1,7922598
ANGPTL2,8164200
ANGPTL3,7901883
ANGPTL4,8025402
ANGPTL6,8033892
ANGPTL7,7897675
ANK1,8150439
ANK2,8096959
ANK3,7933772
ANKAR,8047006
ANKDD1A,7984227
ANKFN1,8008609
ANKFY1,8011599
ANKH,8111101
ANKIB1,8134180
ANKLE1,8026712
ANKLE2,7967794
ANKMY1,8060103
ANKMY2,8138370
ANKRA2,8112596
ANKRD10,7972828
ANKRD11,7997907
ANKRD11,8003448
ANKRD11,8170322
ANKRD11,8175585
ANKRD12,8020068
ANKRD13A,7958600
ANKRD13B,8006063
ANKRD13C,7916928
ANKRD13D,7941822
ANKRD16,7931888
ANKRD17,8100902
ANKRD2,7929653
ANKRD22,7934898
ANKRD24,8024768
ANKRD26,7932637
ANKRD27,8035905
ANKRD28,8085628
ANKRD29,8022559
ANKRD31,8112672
ANKRD33,7955551
ANKRD34A,7904737
ANKRD35,7904796
ANKRD36B,8054064
ANKRD37,8098604
ANKRD39,8053998
ANKRD40,8016725
ANKRD44,8057990
ANKRD45,7922382
ANKRD46,8152053
ANKRD49,7943231
ANKRD50,8102720
ANKRD52,7964033
ANKRD53,8042558
ANKRD54,8075971
ANKRD55,8112159
ANKRD6,8121095
ANKRD9,7981377
ANKS1A,8118863
ANKS1B,7965686
ANKS3,7999177
ANKS6,8162803
ANKZF1,8048489
ANLN,8132318
ANP32A,7990020
ANP32B,8156750
ANP32D,7955117
ANP32E,7919715
ANPEP,7991335
ANTXR1,8042439
ANTXR2,8101260
ANXA1,8155849
ANXA11,7934733
ANXA13,8152719
ANXA2,7989335
ANXA2P1,8103240
ANXA2P3,7927801
ANXA3,8095986
ANXA4,8042468
ANXA5,8102619
ANXA6,8115234
ANXA7,7934367
ANXA9,7905283
AOAH,8139033
AOC2,8007414
AOC3,8007420
AOC3,8007427
AOX1,8047300
AP1B1,8075217
AP1G1,8002592
AP1G2,7978066
AP1M1,8026548
AP1S1,8135080
AP1S2,8171481
AP1S3,8059350
AP2A1,8030470
AP2A2,7937533
AP2B1,8006542
AP2M1,8084345
AP2S1,8037847
AP3B1,8112772
AP3B2,7990987
AP3D1,8032418
AP3M1,7934513
AP3M2,8146159
AP3S1,8107421
AP4B1,7918703
AP4E1,7983679
AP4M1,8134712
AP4S1,7973813
APAF1,7957759
APBA1,8161618
APBA2,7982187
APBA3,8032670
APBB1,7946149
APBB1IP,7926786
APBB2,8099982
APC,8107330
APC2,8024306
APCDD1,8020141
APCDD1L,8067270
APEH,8079772
APEX1,7973056
APEX2,8167854
APH1A,7919729
APH1B,7984124
API5,7939424
APIP,7947490
APLN,8175016
APLP1,8028084
APLP2,7945182
APOA2,7921834
APOA4,7951859
APOA4,8077192
APOB,8050619
APOBEC2,8119403
APOBEC3C,8073068
APOBEC3D,8073072
APOBEC3F,8073081
APOBEC3G,8073088
APOC1,8029536
APOD,8092970
APOE,8029530
APOH,8017766
APOL1,8072735
APOL2,8075720
APOL3,8075695
APOL4,8075709
APOL6,8072710
APOLD1,7954055
APOM,8118209
APOM,8178043
APOM,8179291
APOO,8171823
APOOL,8168580
APP,8069644
APPBP2,8017235
APPL1,8080645
APPL2,7966003
APRT,8003401
APTX,8160602
AQP11,7942774
AQP2,7955290
AQP3,8160670
AQP4,8022655
AQP5,7955297
AQP6,7955305
AQP9,7983910
AQR,7987325
AR,8167998
ARAF,8167165
ARC,8153322
ARCN1,7944285
AREG,8095736
AREG,8095744
ARF3,7962904
ARF4,8088339
ARF5,8135856
ARF6,7974249
ARFGAP1,8064042
ARFGAP2,7947784
ARFGAP3,8076515
ARFGEF1,8151149
ARFGEF2,8063242
ARFIP1,8097813
ARFIP2,7946201
ARFRP1,8067727
ARG1,8122058
ARG2,7975268
ARGLU1,7972723
ARHGAP1,7947681
ARHGAP10,8097717
ARHGAP11A,7982358
ARHGAP12,7932885
ARHGAP17,8000375
ARHGAP18,8129458
ARHGAP20,7951565
ARHGAP21,7932554
ARHGAP22,7933469
ARHGAP24,8096160
ARHGAP25,8042416
ARHGAP26,8108873
ARHGAP27,8016215
ARHGAP27,8016232
ARHGAP28,8019964
ARHGAP29,7917850
ARHGAP30,7921752
ARHGAP4,8175900
ARHGAP5,7973840
ARHGAP6,8171313
ARHGAP9,7964436
ARHGDIA,8019263
ARHGDIA,8019765
ARHGDIB,7961532
ARHGDIG,7991800
ARHGDIG,7991809
ARHGEF10,8144281
ARHGEF10,8144315
ARHGEF10L,7898483
ARHGEF11,7921179
ARHGEF12,7944560
ARHGEF15,8004842
ARHGEF16,7897154
ARHGEF17,7942417
ARHGEF18,8025142
ARHGEF19,7912724
ARHGEF2,7920877
ARHGEF3,8088247
ARHGEF6,8175393
ARHGEF7,7970111
ARHGEF9,8173217
ARID1A,7899220
ARID1B,8122971
ARID2,7955019
ARID3A,8024078
ARID3B,7902592
ARID3B,7984843
ARID4A,7974621
ARID4B,7925201
ARID5A,8043621
ARID5A,8043630
ARID5B,7927732
ARIH1,7984641
ARIH2,8079662
ARL1,7965789
ARL10,8110158
ARL11,7969145
ARL13B,8081115
ARL14,8083743
ARL15,8112033
ARL2BP,7955635
ARL2BP,7996012
ARL3,7936041
ARL4A,8131573
ARL4C,8059854
ARL4D,8007493
ARL5B,7926531
ARL6,8081158
ARL6IP1,7999834
ARL6IP4,7959549
ARL6IP5,8080926
ARL6IP6,8045768
ARL8A,7923394
ARL8B,8077450
ARMC1,8151066
ARMC10,8089034
ARMC10,8135229
ARMC2,8121370
ARMC3,7926638
ARMC4,7932744
ARMC5,7995193
ARMC6,8027117
ARMC7,8009755
ARMC8,8082940
ARMC9,8049044
ARMCX1,8168868
ARMCX2,8174092
ARMCX3,8168875
ARMCX4,8168855
ARMCX6,8168873
ARMCX6,8174086
ARNT,7919825
ARNT2,7985285
ARNTL,7938563
ARNTL2,7954527
ARPC1A,8134581
ARPC1B,8134552
ARPC2,8048234
ARPC3,7966315
ARPC5,7922793
ARPC5L,8157828
ARR3,8168117
ARRB1,7950473
ARRB2,8003903
ARRDC1,8159692
ARRDC2,8026915
ARRDC3,8113073
ARRDC4,7986350
ARSA,8077160
ARSB,8112807
ARSD,8171148
ARSE,8171161
ARSF,8165843
ARSG,8009443
ARSI,8115144
ARSJ,8102440
ARSK,8106962
ART3,8095806
ARTN,7900878
ARVCF,8074522
ARX,8171867
ASAH1,8149534
ASB12,8173238
ASB13,7931863
ASB2,7981020
ASB4,8134376
ASB5,8103812
ASB6,8164572
ASB7,7986433
ASB8,7962783
ASB9,8171392
ASCC2,8075285
ASCC3,8128472
ASCL1,7958051
ASCL2,7945730
ASF1A,8121734
ASF1B,8034772
ASGR1,8012043
ASGR2,8012028
ASH1L,7920766
ASH2L,8145894
ASL,8133122
ASMTL,8171119
ASMTL,8177011
ASNA1,8026024
ASNS,8141150
ASNSD1,8046997
ASPA,8003814
ASPH,8150988
ASPHD1,7994675
ASPHD2,8072108
ASPM,7923086
ASPN,8162394
ASPRV1,8052828
ASPSCR1,8010702
ASS1,8158671
ASTE1,8090664
ASTN1,7922525
ASTN2,8163678
ASXL1,8061725
ASXL3,8020844
ATAD1,7934870
ATAD2,8152668
ATAD2B,8050658
ATAD3A,7896952
ATAD5,8006187
ATCAY,8024712
ATE1,7936762
ATF1,7955425
ATF2,8056909
ATF3,7909610
ATF4,8073148
ATF5,8030557
ATF6,7906819
ATF7,7963698
ATF7IP,7954104
ATF7IP2,7993167
ATG10,8106709
ATG12,8113651
ATG16L1,8049271
ATG16L2,7942381
ATG2A,7949277
ATG2B,7981192
ATG2B,7981217
ATG3,8089527
ATG4A,8169272
ATG4B,8049888
ATG4B,8077211
ATG4C,7901895
ATG4D,8025659
ATG5,8128592
ATG7,8077858
ATG9A,8059139
ATIC,8048120
ATL3,7948995
ATL3,7948997
ATM,7943620
ATMIN,7997396
ATN1,7953547
ATOH1,8096461
ATOH7,7933978
ATOH8,8043244
ATOX1,8115346
ATP10A,7986789
ATP10B,8115623
ATP10D,8094911
ATP11A,7970162
ATP11B,8084173
ATP11C,8175492
ATP12A,7968062
ATP13A1,8035737
ATP13A2,7912898
ATP13A3,8092849
ATP13A4,8092800
ATP13A5,8092769
ATP1A1,7904254
ATP1A2,7906501
ATP1A4,7906527
