pickup_station,group
1,Low
2,Low
3,Low
4,Low
5,Low
6,Low
7,Low
8,Low
9,Low
10,Low
11,Low
12,Low
13,Medium
14,Low
15,Low
16,Low
17,Low
18,Low
19,Low
20,Low
21,Low
22,Low
23,Low
24,Low
25,Low
26,Low
27,Low
28,Low
29,Low
30,Low
31,Low
32,Low
33,Low
34,Low
35,Low
36,Low
37,Low
38,Low
39,Low
40,Low
41,Low
42,Low
43,Medium
44,Low
45,Low
46,Low
47,Low
48,High
49,Low
50,Medium
51,Low
52,Low
53,Low
54,Low
55,Low
56,Low
56,Low
58,Low
59,Low
60,Low
61,Low
62,Low
63,Low
64,Low
65,Low
66,Low
67,Low
68,Medium
69,Low
70,Low
71,Low
72,Low
73,Low
74,Low
75,Medium
76,Low
77,Low
78,Low
79,High
80,Low
81,Low
82,Low
83,Low
84,Low
85,Low
86,Low
87,Medium
88,Low
89,Low
90,Medium
91,Low
92,Low
93,Low
94,Low
95,Low
96,Low
97,Low
98,Low
99,Low
100,Medium
101,Low
102,Low
106,Low
107,Medium
108,Low
109,Low
110,Low
111,Low
112,Low
113,Medium
114,Medium
115,Low
116,Low
117,Low
118,Low
119,Low
120,Low
121,Low
122,Low
123,Low
124,Low
125,Medium
126,Low
127,Low
128,Low
129,Low
130,Low
131,Low
132,High
133,Low
134,Low
135,Low
136,Low
137,Medium
138,High
139,Low
140,Medium
141,Medium
142,High
143,Medium
144,Medium
145,Low
146,Low
147,Low
148,Medium
149,Low
150,Low
151,Medium
152,Low
153,Low
154,Low
155,Low
156,Low
157,Low
158,Medium
159,Low
160,Low
161,High
162,High
163,High
164,Medium
165,Low
166,Medium
167,Low
168,Low
169,Low
170,High
171,Low
172,Low
173,Low
174,Low
175,Low
176,Low
177,Low
178,Low
179,Low
180,Low
181,Low
182,Low
183,Low
184,Low
185,Low
186,High
187,Low
188,Low
189,Low
190,Low
191,Low
192,Low
193,Low
194,Low
195,Low
196,Low
197,Low
198,Low
199,Low
200,Low
201,Low
202,Low
203,Low
204,Low
205,Low
206,Low
207,Low
208,Low
209,Low
210,Low
211,Medium
212,Low
213,Low
214,Low
215,Low
216,Low
217,Low
218,Low
219,Low
220,Low
221,Low
222,Low
223,Low
224,Low
225,Low
226,Low
227,Low
228,Low
229,Medium
230,High
231,Medium
232,Low
233,Medium
234,High
235,Low
236,High
237,High
238,Medium
239,High
240,Low
241,Low
242,Low
243,Low
244,Low
245,Low
246,Medium
247,Low
248,Low
249,Medium
250,Low
251,Low
252,Low
253,Low
254,Low
255,Low
256,Low
257,Low
258,Low
259,Low
260,Low
261,Medium
262,Medium
263,Medium
